"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2023",,,,,,"Data collected as of October 18, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1027468,208.37,143375,45.66,71951,22.91,133144,42.4,603190,192.1,11604,3.7,78694,25.06,1776,0.57,33342,10.62,191243,60.91,5754,1.83,335,0.48,10999,15.85,311,0.65,547,1.14,681,1.42,20,0.04,129,0.27,1196003,242.55
Hokkaido,38432,171.57,8917,64.62,3371,24.43,7885,57.14,12631,91.53,594,4.3,973,7.05,52,0.38,765,5.54,10905,79.02,183,1.33,5,0.17,169,5.83,4,0.17,3,0.13,37,1.61,1,0.04,7,0.3,50843,226.98
Aomori,12285,201.39,890,22.82,311,7.97,424,10.87,5983,153.41,88,2.26,520,13.33,12,0.31,348,8.92,2870,73.59,47,1.21,5,0.56,25,2.78,5,0.83,8,1.33,164,27.33,-,-,-,-,13601,222.97
Iwate,14201,229.05,1556,39.9,293,7.51,1684,43.18,7695,197.31,97,2.49,734,18.82,42,1.08,548,14.05,4371,112.08,52,1.33,-,-,140,10.77,12,0.63,7,0.37,26,1.37,1,0.05,16,0.84,18427,297.21
Miyagi,12641,137.4,3052,55.49,666,12.11,1113,20.24,10361,188.38,198,3.6,1705,31,36,0.65,651,11.84,6898,125.42,103,1.87,2,0.17,111,9.25,5,0.5,3,0.3,25,2.5,-,-,-,-,26538,288.46
Akita,7225,141.67,677,20.52,154,4.67,473,14.33,3684,111.64,114,3.45,422,12.79,13,0.39,208,6.3,1992,60.36,27,0.82,5,0.83,48,8,1,0.13,-,-,5,0.63,-,-,-,-,11362,222.78
Yamagata,7751,180.26,1849,66.04,426,15.21,869,31.04,5114,182.64,98,3.5,548,19.57,11,0.39,444,15.86,3808,136,44,1.57,-,-,33,4.13,4,0.4,3,0.3,4,0.4,-,-,1,0.1,8703,202.4
Fukushima,10790,131.59,3469,70.8,774,15.8,1823,37.2,6819,139.16,147,3,2011,41.04,46,0.94,817,16.67,3222,65.76,105,2.14,7,0.54,162,12.46,3,0.43,1,0.14,11,1.57,-,-,1,0.14,20835,254.09
Ibaraki,19133,159.44,1817,24.23,1677,22.36,3628,48.37,11312,150.83,260,3.47,3479,46.39,90,1.2,530,7.07,2813,37.51,120,1.6,13,0.76,695,40.88,5,0.42,5,0.42,39,3.25,-,-,1,0.08,34777,289.81
Tochigi,10869,143.01,1939,40.4,403,8.4,1492,31.08,5438,113.29,139,2.9,1619,33.73,32,0.67,609,12.69,2774,57.79,66,1.38,-,-,197,16.42,6,0.86,10,1.43,1,0.14,-,-,2,0.29,17414,229.13
Gunma,10429,121.27,1433,27.04,1202,22.68,1330,25.09,10470,197.55,233,4.4,980,18.49,26,0.49,720,13.58,3885,73.3,154,2.91,2,0.14,202,14.43,5,0.56,5,0.56,4,0.44,2,0.22,-,-,16790,195.23
Saitama,55576,217.09,5567,34.58,3922,24.36,8273,51.39,39018,242.35,903,5.61,5307,32.96,103,0.64,1881,11.68,10279,63.84,455,2.83,60,1.46,540,13.17,9,0.82,27,2.45,11,1,-,-,6,0.55,69798,272.65
Chiba,47332,230.89,3219,25.15,2420,18.91,5253,41.04,26823,209.55,410,3.2,2967,23.18,57,0.45,1125,8.79,8066,63.02,275,2.15,9,0.26,569,16.74,12,1.33,14,1.56,4,0.44,-,-,-,-,62406,304.42
Tokyo,87364,211.54,6922,26.73,5780,22.32,10921,42.17,54704,211.21,1127,4.35,5551,21.43,240,0.93,2844,10.98,15891,61.36,483,1.86,16,0.42,562,14.79,25,1.04,32,1.33,24,1,7,0.29,4,0.17,80581,195.11
Kanagawa,76490,212.47,5508,24.16,3193,14,7792,34.18,39944,175.19,781,3.43,4198,18.41,151,0.66,2278,9.99,11753,51.55,507,2.22,25,0.5,1813,36.26,14,1.27,47,4.27,34,3.09,-,-,1,0.09,78146,217.07
Niigata,21018,247.27,3867,71.61,829,15.35,2336,43.26,10016,185.48,216,4,3751,69.46,29,0.54,543,10.06,4046,74.93,102,1.89,9,0.9,60,6,3,0.25,6,0.5,21,1.75,-,-,4,0.33,21788,256.33
Toyama,11844,246.75,1688,58.21,736,25.38,2005,69.14,8400,289.66,125,4.31,1041,35.9,9,0.31,255,8.79,1722,59.38,29,1,-,-,43,6.14,2,0.4,-,-,7,1.4,-,-,5,1,9935,206.98
Ishikawa,15202,316.71,1372,47.31,424,14.62,772,26.62,8831,304.52,102,3.52,940,32.41,12,0.41,320,11.03,1710,58.97,38,1.31,7,1,138,19.71,2,0.4,7,1.4,12,2.4,-,-,2,0.4,15162,315.88
Fukui,10456,275.16,1494,62.25,764,31.83,1216,50.67,4697,195.71,142,5.92,1325,55.21,13,0.54,245,10.21,1123,46.79,48,2,-,-,8,2.67,7,1.17,10,1.67,6,1,-,-,1,0.17,6612,174
Yamanashi,3821,93.2,668,27.83,164,6.83,119,4.96,4564,190.17,41,1.71,196,8.17,5,0.21,267,11.13,1009,42.04,36,1.5,1,0.11,117,13,6,0.6,2,0.2,2,0.2,-,-,3,0.3,10605,258.66
Nagano,11543,132.68,1882,35.51,511,9.64,1149,21.68,12235,230.85,192,3.62,452,8.53,36,0.68,420,7.92,4333,81.75,73,1.38,21,2.1,422,42.2,4,0.33,12,1,13,1.08,-,-,2,0.17,20824,239.36
Gifu,7707,89.62,2582,49.65,763,14.67,1451,27.9,7902,151.96,98,1.88,424,8.15,29,0.56,423,8.13,2033,39.1,63,1.21,1,0.09,72,6.55,-,-,14,2.8,5,1,1,0.2,2,0.4,26368,306.6
Shizuoka,18466,132.85,4059,46.13,1373,15.6,1946,22.11,15938,181.11,263,2.99,1417,16.1,117,1.33,918,10.43,6120,69.55,162,1.84,4,0.18,161,7.32,17,1.7,18,1.8,28,2.8,-,-,2,0.2,36485,262.48
Aichi,38026,195.01,6058,33.29,3138,17.24,6668,36.64,33045,181.57,447,2.46,1358,7.46,80,0.44,1278,7.02,8851,48.63,255,1.4,3,0.09,261,7.46,15,1,22,1.47,7,0.47,2,0.13,3,0.2,62141,318.67
Mie,13716,193.18,2919,66.34,1014,23.05,941,21.39,9424,214.18,215,4.89,563,12.8,16,0.36,412,9.36,4005,91.02,36,0.82,-,-,51,4.25,12,1.33,22,2.44,6,0.67,1,0.11,-,-,18176,256
Shiga,11411,193.41,1322,37.77,312,8.91,1355,38.71,5630,160.86,273,7.8,537,15.34,7,0.2,308,8.8,2011,57.46,66,1.89,-,-,8,1,4,0.57,22,3.14,5,0.71,-,-,-,-,12496,211.8
Kyoto,30461,243.69,2418,31.82,2366,31.13,4405,57.96,11280,148.42,276,3.63,821,10.8,33,0.43,484,6.37,2735,35.99,88,1.16,3,0.18,104,6.12,2,0.29,5,0.71,4,0.57,-,-,12,1.71,27484,219.87
Osaka,74009,249.19,10234,52.75,9763,50.32,12016,61.94,35184,181.36,706,3.64,2179,11.23,80,0.41,1786,9.21,10617,54.73,415,2.14,22,0.43,677,13.27,5,0.31,21,1.31,8,0.5,-,-,10,0.63,57540,193.74
Hyogo,41268,208.42,7650,59.77,4591,35.87,4676,36.53,30261,236.41,455,3.55,2298,17.95,66,0.52,1173,9.16,6362,49.7,246,1.92,23,0.66,666,19.03,16,1.14,31,2.21,5,0.36,1,0.07,6,0.43,38867,196.3
Nara,10075,183.18,1970,57.94,1220,35.88,1959,57.62,6523,191.85,106,3.12,440,12.94,13,0.38,370,10.88,1613,47.44,35,1.03,3,0.3,229,22.9,9,1.5,7,1.17,2,0.33,1,0.17,1,0.17,13612,247.49
Wakayama,7276,148.49,2119,70.63,619,20.63,1075,35.83,4362,145.4,74,2.47,187,6.23,7,0.23,278,9.27,2037,67.9,53,1.77,6,1.5,51,12.75,3,0.27,15,1.36,11,1,1,0.09,4,0.36,11053,225.57
Tottori,3185,109.83,913,48.05,203,10.68,1878,98.84,4902,258,45,2.37,737,38.79,8,0.42,180,9.47,984,51.79,14,0.74,1,0.2,26,5.2,5,1,6,1.2,-,-,-,-,5,1,7716,266.07
Shimane,4637,122.03,1432,62.26,306,13.3,342,14.87,4803,208.83,83,3.61,1675,72.83,4,0.17,356,15.48,579,25.17,27,1.17,1,0.33,12,4,8,1,9,1.13,2,0.25,-,-,1,0.13,7475,196.71
Okayama,12963,154.32,1816,33.63,626,11.59,1007,18.65,10389,192.39,146,2.7,2251,41.69,22,0.41,506,9.37,2086,38.63,111,2.06,8,0.67,127,10.58,2,0.4,21,4.2,1,0.2,-,-,3,0.6,17121,203.82
Hiroshima,19327,171.04,3428,48.28,1278,18,3515,49.51,14186,199.8,222,3.13,1944,27.38,13,0.18,648,9.13,2506,35.3,97,1.37,13,0.72,381,21.17,9,0.43,16,0.76,13,0.62,-,-,5,0.24,22949,203.09
Yamaguchi,14217,215.41,3635,84.53,376,8.74,2665,61.98,8875,206.4,133,3.09,1923,44.72,23,0.53,614,14.28,2206,51.3,95,2.21,-,-,103,11.44,2,0.22,4,0.44,28,3.11,-,-,-,-,15325,232.2
Tokushima,5354,144.7,1579,68.65,363,15.78,222,9.65,4062,176.61,57,2.48,407,17.7,6,0.26,287,12.48,1077,46.83,20,0.87,2,0.5,15,3.75,4,0.57,10,1.43,-,-,-,-,-,-,8823,238.46
Kagawa,8039,171.04,1223,43.68,713,25.46,308,11,7823,279.39,74,2.64,735,26.25,5,0.18,393,14.04,1544,55.14,68,2.43,-,-,28,5.6,1,0.2,4,0.8,1,0.2,-,-,-,-,10436,222.04
Ehime,14992,249.87,2643,73.42,1062,29.5,1380,38.33,10803,300.08,97,2.69,425,11.81,6,0.17,637,17.69,2353,65.36,78,2.17,1,0.13,343,42.88,-,-,2,0.33,2,0.33,-,-,3,0.5,14901,248.35
Kochi,6854,155.77,1274,49,319,12.27,677,26.04,3508,134.92,136,5.23,664,25.54,20,0.77,287,11.04,1083,41.65,20,0.77,-,-,9,3,4,0.5,7,0.88,21,2.63,-,-,7,0.88,10812,245.73
Fukuoka,63350,319.95,8864,73.87,7016,58.47,12762,106.35,26060,217.17,604,5.03,7071,58.93,47,0.39,1864,15.53,7652,63.77,257,2.14,8,0.31,514,19.77,15,1,19,1.27,4,0.27,-,-,3,0.2,48201,243.44
Saga,10116,259.38,1622,70.52,750,32.61,686,29.83,2545,110.65,64,2.78,1428,62.09,12,0.52,494,21.48,1972,85.74,30,1.3,-,-,35,8.75,8,1.33,13,2.17,8,1.33,-,-,6,1,12767,327.36
Nagasaki,19008,275.48,2103,47.8,929,21.11,3056,69.45,4997,113.57,161,3.66,1374,31.23,12,0.27,530,12.05,2528,57.45,74,1.68,30,3.75,122,15.25,6,0.5,16,1.33,13,1.08,-,-,-,-,19928,288.81
Kumamoto,18932,239.65,2571,52.47,860,17.55,1576,32.16,11704,238.86,192,3.92,1916,39.1,20,0.41,929,18.96,3461,70.63,130,2.65,1,0.11,146,16.22,5,0.36,17,1.21,3,0.21,-,-,-,-,21754,275.37
Oita,17159,295.84,2868,79.67,963,26.75,1218,33.83,14125,392.36,246,6.83,1296,36,31,0.86,682,18.94,2375,65.97,94,2.61,-,-,123,24.6,3,0.27,4,0.36,46,4.18,-,-,-,-,15735,271.29
Miyazaki,20556,360.63,2498,71.37,616,17.6,1513,43.23,10992,314.06,154,4.4,2330,66.57,15,0.43,718,20.51,3346,95.6,68,1.94,3,0.5,190,31.67,1,0.14,2,0.29,1,0.14,-,-,-,-,16801,294.75
Kagoshima,26288,292.09,4254,80.26,1230,23.21,1267,23.91,12233,230.81,171,3.23,1464,27.62,52,0.98,676,12.75,5229,98.66,138,2.6,2,0.29,142,20.29,4,0.33,5,0.42,-,-,-,-,-,-,24567,272.97
