"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2023",,,,,,"Data collected as of January 25, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,107464,21.77,2047,0.65,1111,0.35,2797,0.89,53510,17.01,773,0.25,940,0.3,58,0.02,2043,0.65,410,0.13,215,0.07,24,0.03,464,0.67,15,0.03,12,0.03,23,0.05,2,0,5,0.01
Hokkaido,4895,21.47,154,1.12,107,0.78,177,1.28,810,5.87,65,0.47,12,0.09,1,0.01,50,0.36,9,0.07,7,0.05,1,0.03,4,0.14,-,-,-,-,3,0.13,-,-,1,0.04
Aomori,1101,17.2,25,0.6,11,0.26,13,0.31,470,11.19,2,0.05,1,0.02,1,0.02,20,0.48,-,-,3,0.07,-,-,1,0.1,1,0.17,-,-,5,0.83,-,-,-,-
Iwate,319,5.06,36,0.9,9,0.23,58,1.45,550,13.75,4,0.1,5,0.13,-,-,30,0.75,2,0.05,1,0.03,-,-,10,0.77,-,-,1,0.05,1,0.05,-,-,1,0.05
Miyagi,550,5.79,86,1.48,25,0.43,20,0.34,772,13.31,19,0.33,2,0.03,5,0.09,41,0.71,-,-,3,0.05,-,-,8,0.67,1,0.08,-,-,-,-,-,-,-,-
Akita,322,6.31,9,0.27,7,0.21,27,0.82,187,5.67,6,0.18,-,-,2,0.06,15,0.45,19,0.58,2,0.06,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
Yamagata,201,4.57,40,1.38,8,0.28,29,1,575,19.83,8,0.28,-,-,-,-,25,0.86,1,0.03,5,0.17,-,-,3,0.38,3,0.3,-,-,-,-,-,-,-,-
Fukushima,869,10.47,192,3.84,36,0.72,33,0.66,590,11.8,7,0.14,2,0.04,3,0.06,49,0.98,1,0.02,2,0.04,-,-,6,0.46,-,-,-,-,-,-,-,-,-,-
Ibaraki,1772,14.77,17,0.23,13,0.18,52,0.7,1132,15.3,10,0.14,1,0.01,-,-,31,0.42,2,0.03,9,0.12,-,-,42,2.47,-,-,-,-,2,0.17,-,-,-,-
