"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2023",,,,,,"Data collected as of January 25, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,47366,9.59,907,0.29,385,0.12,1257,0.4,24263,7.71,232,0.07,332,0.11,16,0.01,748,0.24,189,0.06,84,0.03,5,0.01,145,0.21,7,0.01,7,0.01,6,0.01,2,0,1,0
Hokkaido,1867,8.19,64,0.46,37,0.27,75,0.54,357,2.59,22,0.16,4,0.03,1,0.01,26,0.19,5,0.04,5,0.04,-,-,2,0.07,-,-,-,-,-,-,-,-,-,-
Aomori,513,8.02,11,0.26,5,0.12,7,0.17,251,5.98,-,-,-,-,-,-,9,0.21,-,-,-,-,-,-,1,0.1,-,-,-,-,2,0.33,-,-,-,-
Iwate,68,1.08,14,0.35,4,0.1,35,0.88,262,6.55,-,-,1,0.03,-,-,8,0.2,1,0.03,-,-,-,-,4,0.31,-,-,1,0.05,-,-,-,-,-,-
Miyagi,221,2.33,53,0.91,11,0.19,6,0.1,364,6.28,9,0.16,-,-,1,0.02,15,0.26,-,-,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Akita,133,2.61,2,0.06,1,0.03,15,0.45,97,2.94,1,0.03,-,-,2,0.06,5,0.15,12,0.36,2,0.06,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Yamagata,101,2.3,25,0.86,1,0.03,20,0.69,308,10.62,-,-,-,-,-,-,7,0.24,-,-,2,0.07,-,-,1,0.13,2,0.2,-,-,-,-,-,-,-,-
Fukushima,365,4.4,100,2,12,0.24,23,0.46,297,5.94,1,0.02,2,0.04,-,-,22,0.44,-,-,-,-,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Ibaraki,670,5.58,8,0.11,1,0.01,19,0.25,421,5.61,3,0.04,-,-,-,-,16,0.21,-,-,-,-,-,-,13,0.76,-,-,-,-,1,0.08,-,-,-,-
