"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2024",,,,,,"Data collected as of February 21, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,8417,96.75,40,0.75,291,5.49,682,12.87,1498,28.26,15,0.28,23,0.43,1,0.02,80,1.51,7,0.13,5,0.09,-,-,17,1.55,-,-,1,0.2,3,0.6,-,-,1,0.2,9727,111.8
Shizuoka,13329,95.89,18,0.2,619,6.96,2056,23.1,3315,37.25,75,0.84,46,0.52,6,0.07,106,1.19,6,0.07,26,0.29,-,-,65,2.95,2,0.2,-,-,7,0.7,-,-,-,-,14659,105.46
Aichi,31842,163.29,31,0.17,864,4.75,2821,15.5,6127,33.66,87,0.48,37,0.2,5,0.03,154,0.85,7,0.04,24,0.13,-,-,98,2.8,4,0.27,2,0.13,11,0.73,-,-,2,0.13,23754,121.82
Mie,9160,127.22,10,0.22,449,9.98,1286,28.58,2071,46.02,29,0.64,34,0.76,4,0.09,59,1.31,7,0.16,2,0.04,-,-,10,0.83,1,0.11,2,0.22,2,0.22,-,-,-,-,6791,94.32
Shiga,6926,117.39,9,0.26,221,6.31,345,9.86,1043,29.8,32,0.91,47,1.34,2,0.06,33,0.94,7,0.2,3,0.09,-,-,8,1,-,-,1,0.14,-,-,-,-,-,-,3865,65.51
Kyoto,18730,151.05,41,0.55,482,6.43,1239,16.52,2393,31.91,70,0.93,113,1.51,1,0.01,58,0.77,11,0.15,14,0.19,1,0.06,30,1.67,-,-,1,0.17,2,0.33,-,-,-,-,7976,64.32
Osaka,45308,148.07,317,1.61,784,3.98,4522,22.95,8626,43.79,191,0.97,600,3.05,17,0.09,215,1.09,77,0.39,32,0.16,5,0.1,104,2,3,0.18,2,0.12,14,0.82,-,-,1,0.06,15810,51.67
Hyogo,26911,135.91,74,0.58,866,6.77,2490,19.45,6445,50.35,120,0.94,169,1.32,12,0.09,131,1.02,31,0.24,25,0.2,3,0.09,125,3.57,1,0.07,3,0.21,15,1.07,-,-,-,-,11362,57.38
Nara,8586,159,18,0.55,260,7.88,625,18.94,1622,49.15,31,0.94,67,2.03,-,-,45,1.36,9,0.27,3,0.09,1,0.1,38,3.8,1,0.17,-,-,1,0.17,-,-,-,-,4128,76.44
Wakayama,5451,111.24,54,1.8,235,7.83,450,15,1044,34.8,11,0.37,65,2.17,-,-,30,1,4,0.13,5,0.17,-,-,6,1.5,-,-,3,0.27,6,0.55,2,0.18,1,0.09,3785,77.24
