"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2024",,,,,,"Data collected as of November 13, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1197550,243.01,115940,37.04,91358,29.19,442105,141.25,564561,180.37,22240,7.11,616029,196.81,14453,4.62,35979,11.49,73652,23.53,5701,1.82,553,0.8,16881,24.32,446,0.93,657,1.37,15222,31.71,49,0.1,285,0.59,1466165,297.52
Hokkaido,58426,263.18,6013,44.21,9395,69.08,34432,253.18,16005,117.68,1235,9.08,15415,113.35,51,0.38,812,5.97,3816,28.06,165,1.21,2,0.07,225,8.04,8,0.36,7,0.32,576,26.18,-,-,23,1.05,65793,296.36
Aomori,10524,181.45,826,22.94,1024,28.44,3611,100.31,4307,119.64,294,8.17,4956,137.67,485,13.47,434,12.06,708,19.67,44,1.22,2,0.2,97,9.7,6,1,2,0.33,314,52.33,-,-,-,-,17081,294.5
Iwate,12242,197.45,1544,39.59,2630,67.44,4745,121.67,7716,197.85,230,5.9,8406,215.54,300,7.69,599,15.36,726,18.62,83,2.13,1,0.07,210,15,5,0.26,14,0.74,405,21.32,-,-,8,0.42,23944,386.19
Miyagi,24299,269.99,2380,44.07,2291,42.43,7407,137.17,8638,159.96,364,6.74,14669,271.65,97,1.8,676,12.52,1166,21.59,108,2,1,0.08,180,15,4,0.4,8,0.8,142,14.2,1,0.1,3,0.3,33502,372.24
Akita,8249,161.75,442,13.39,763,23.12,2779,84.21,3284,99.52,225,6.82,3079,93.3,17,0.52,226,6.85,419,12.7,21,0.64,4,0.67,78,13,3,0.38,-,-,86,10.75,-,-,2,0.25,16191,317.47
Yamagata,12092,287.9,1730,64.07,1780,65.93,7691,284.85,4910,181.85,201,7.44,6731,249.3,27,1,422,15.63,958,35.48,39,1.44,-,-,87,12.43,1,0.1,1,0.1,117,11.7,1,0.1,3,0.3,13068,311.14
Fukushima,17276,210.68,2366,48.29,2118,43.22,6860,140,6522,133.1,421,8.59,10842,221.27,81,1.65,761,15.53,817,16.67,74,1.51,9,0.69,308,23.69,7,1,1,0.14,254,36.29,2,0.29,8,1.14,29259,356.82
Ibaraki,27798,233.6,1435,19.39,1847,24.96,15908,214.97,10792,145.84,354,4.78,10715,144.8,186,2.51,539,7.28,1556,21.03,125,1.69,17,1.06,1020,63.75,4,0.31,25,1.92,571,43.92,-,-,4,0.31,46571,391.35
