"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2025",,,,,,"Data collected as of April 16, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,4621,1.19,2205,0.93,594,0.25,5020,2.12,19581,8.26,775,0.33,126,0.05,2670,1.13,652,0.27,40,0.02,129,0.05,40,0.06,564,0.81,8,0.02,10,0.02,114,0.24,2,0,117,0.24,8138,2.1
Hokkaido,271,1.63,116,1.14,36,0.35,370,3.63,604,5.92,40,0.39,13,0.13,319,3.13,15,0.15,-,-,3,0.03,-,-,3,0.11,1,0.04,1,0.04,4,0.17,-,-,2,0.09,401,2.42
Aomori,90,1.73,27,0.79,13,0.38,35,1.03,187,5.5,30,0.88,6,0.18,61,1.79,8,0.24,-,-,-,-,-,-,-,-,-,-,-,-,5,0.83,-,-,-,-,113,2.17
Iwate,72,1.53,21,0.7,17,0.57,79,2.63,255,8.5,3,0.1,2,0.07,53,1.77,11,0.37,1,0.03,1,0.03,-,-,4,0.29,1,0.05,-,-,2,0.11,-,-,-,-,111,2.36
Miyagi,87,1.58,28,0.9,11,0.35,75,2.42,213,6.87,3,0.1,-,-,50,1.61,17,0.55,-,-,2,0.06,-,-,4,0.33,-,-,2,0.2,1,0.1,-,-,5,0.5,113,2.05
Akita,118,4.72,7,0.54,5,0.38,35,2.69,75,5.77,3,0.23,3,0.23,4,0.31,2,0.15,-,-,-,-,-,-,2,0.29,-,-,-,-,4,0.5,-,-,-,-,70,2.8
Yamagata,61,1.56,45,1.73,3,0.12,53,2.04,217,8.35,22,0.85,5,0.19,68,2.62,11,0.42,-,-,1,0.04,-,-,3,0.38,-,-,-,-,1,0.1,-,-,1,0.1,148,3.79
Fukushima,99,2.06,32,1.14,6,0.21,73,2.61,210,7.5,11,0.39,5,0.18,79,2.82,8,0.29,-,-,2,0.07,-,-,50,3.85,-,-,-,-,2,0.29,-,-,-,-,119,2.48
Ibaraki,57,0.84,43,1.13,13,0.34,179,4.71,393,10.34,14,0.37,2,0.05,71,1.87,6,0.16,1,0.03,1,0.03,1,0.06,54,3.18,-,-,-,-,2,0.15,-,-,-,-,198,2.91
