"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2025",,,,,,"Data collected as of April 16, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,591275,123.41,42336,13.96,12170,4.01,92703,30.56,342895,113.05,11850,3.91,3382,1.12,33159,10.93,8762,2.89,420,0.14,1514,0.5,489,0.71,7845,11.4,143,0.3,165,0.34,3453,7.19,25,0.05,838,1.75,332697,69.44
Hokkaido,25070,116.6,2364,18.05,720,5.5,6804,51.94,5826,44.47,864,6.6,298,2.27,1997,15.24,247,1.89,20,0.15,60,0.46,4,0.14,105,3.75,2,0.09,5,0.22,172,7.48,2,0.09,36,1.57,18584,86.44
Aomori,6231,111.27,285,7.92,184,5.11,578,16.06,2539,70.53,232,6.44,99,2.75,1224,34,112,3.11,4,0.11,13,0.36,-,-,14,1.56,1,0.17,10,1.67,116,19.33,-,-,3,0.5,4625,82.59
Iwate,9436,154.69,351,9.24,184,4.84,1874,49.32,4393,115.61,120,3.16,90,2.37,613,16.13,141,3.71,4,0.11,18,0.47,-,-,116,8.29,9,0.47,2,0.11,130,6.84,-,-,13,0.68,5511,90.34
Miyagi,12230,138.98,520,9.81,338,6.38,1756,33.13,4525,85.38,205,3.87,71,1.34,1146,21.62,163,3.08,1,0.02,36,0.68,1,0.08,91,7.58,2,0.2,2,0.2,49,4.9,1,0.1,6,0.6,7870,89.43
Akita,3928,81.83,124,4,114,3.68,756,24.39,1810,58.39,80,2.58,58,1.87,104,3.35,51,1.65,6,0.19,5,0.16,6,1,29,4.83,1,0.13,-,-,61,7.63,-,-,9,1.13,3011,62.73
Yamagata,6276,156.9,258,10.32,158,6.32,1043,41.72,1995,79.8,131,5.24,167,6.68,461,18.44,102,4.08,5,0.2,12,0.48,-,-,93,13.29,2,0.2,-,-,86,8.6,-,-,16,1.6,2567,64.18
Fukushima,11455,145,628,13.65,301,6.54,1349,29.33,3239,70.41,224,4.87,41,0.89,1417,30.8,161,3.5,-,-,24,0.52,4,0.31,434,33.38,1,0.14,1,0.14,48,6.86,-,-,9,1.29,8398,106.3
Ibaraki,17004,147.86,604,8.51,283,3.99,4881,68.75,7440,104.79,257,3.62,51,0.72,762,10.73,137,1.93,10,0.14,27,0.38,5,0.31,725,45.31,2,0.15,2,0.15,90,6.92,-,-,6,0.46,12378,107.63
Tochigi,10105,140.35,587,13.04,182,4.04,1489,33.09,4222,93.82,121,2.69,72,1.6,1154,25.64,166,3.69,4,0.09,19,0.42,3,0.27,157,14.27,5,0.71,1,0.14,29,4.14,-,-,7,1,6878,95.53
Gunma,11287,141.09,680,13.88,214,4.37,752,15.35,6563,133.94,237,4.84,57,1.16,620,12.65,183,3.73,12,0.24,35,0.71,1,0.08,121,9.31,4,0.44,4,0.44,78,8.67,1,0.11,17,1.89,6447,80.59
