"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34th week, 2025",,,,,,"Data collected as of August 27, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,625826,147.01,63325,23.92,35431,13.39,197161,74.48,604081,228.21,30874,11.66,18146,6.86,116048,43.84,24221,9.15,34390,12.99,4707,1.78,885,1.28,19230,27.83,315,0.66,615,1.28,9349,19.48,72,0.15,1732,3.61,524759,123.27
Hokkaido,25871,137.61,3303,28.97,2034,17.84,12896,113.12,13352,117.12,1787,15.68,1984,17.4,8799,77.18,651,5.71,1018,8.93,156,1.37,6,0.21,197,7.04,2,0.09,18,0.78,460,20,2,0.09,55,2.39,23154,123.16
Aomori,6808,126.07,400,11.43,381,10.89,1127,32.2,4471,127.74,671,19.17,203,5.8,1729,49.4,330,9.43,82,2.34,47,1.34,1,0.11,29,3.22,7,1.17,17,2.83,267,44.5,-,-,3,0.5,6394,118.41
Iwate,10245,204.9,599,18.72,480,15,2911,90.97,7640,238.75,297,9.28,399,12.47,1540,48.13,387,12.09,50,1.56,55,1.72,1,0.07,204,14.57,10,0.53,14,0.74,269,14.16,-,-,22,1.16,7313,146.26
Miyagi,12823,185.84,1052,26.3,606,15.15,3385,84.63,7274,181.85,426,10.65,193,4.83,2884,72.1,345,8.63,238,5.95,86,2.15,4,0.33,214,17.83,4,0.4,7,0.7,238,23.8,1,0.1,16,1.6,10231,148.28
Akita,4317,123.34,153,7.29,190,9.05,1123,53.48,2480,118.1,186,8.86,103,4.9,737,35.1,112,5.33,105,5,11,0.52,22,3.67,74,12.33,2,0.25,-,-,586,73.25,-,-,9,1.13,4186,119.6
Yamagata,6702,171.85,816,32.64,427,17.08,2100,84,4821,192.84,371,14.84,306,12.24,3029,121.16,317,12.68,203,8.12,35,1.4,-,-,118,16.86,2,0.2,6,0.6,250,25,-,-,28,2.8,4083,104.69
Fukushima,12107,198.48,1181,32.81,572,15.89,2614,72.61,5894,163.72,548,15.22,235,6.53,3093,85.92,340,9.44,62,1.72,94,2.61,5,0.42,822,68.5,3,0.43,3,0.43,94,13.43,-,-,25,3.57,10577,173.39
Ibaraki,17454,198.34,936,18,662,12.73,7996,153.77,11387,218.98,512,9.85,174,3.35,2694,51.81,350,6.73,414,7.96,66,1.27,6,0.38,1877,117.31,9,0.69,8,0.62,264,20.31,1,0.08,8,0.62,17141,194.78
Tochigi,10401,182.47,909,25.97,301,8.6,3665,104.71,6285,179.57,255,7.29,171,4.89,3500,100,433,12.37,319,9.11,61,1.74,3,0.27,402,36.55,6,0.86,5,0.71,173,24.71,2,0.29,19,2.71,9229,161.91
Gunma,11495,191.58,865,24.71,496,14.17,1633,46.66,10252,292.91,388,11.09,165,4.71,2670,76.29,428,12.23,205,5.86,82,2.34,1,0.08,518,39.85,4,0.44,8,0.89,347,38.56,1,0.11,46,5.11,7989,133.15
Saitama,31909,157.97,2800,22.05,2001,15.76,13933,109.71,32809,258.34,3319,26.13,863,6.8,7831,61.66,1323,10.42,1179,9.28,337,2.65,230,5.61,884,21.56,9,0.75,29,2.42,276,23,6,0.5,62,5.17,32212,159.47
Chiba,27213,143.23,1622,13.63,1219,10.24,11913,100.11,26577,223.34,1259,10.58,692,5.82,6051,50.85,922,7.75,917,7.71,300,2.52,20,0.59,1429,42.03,10,1.11,13,1.44,61,6.78,-,-,6,0.67,28160,148.21
Tokyo,32474,78.82,3596,13.83,2380,9.15,23230,89.35,65792,253.05,4917,18.91,1848,7.11,7816,30.06,2470,9.5,3084,11.86,563,2.17,19,0.5,695,18.29,24,0.96,33,1.32,295,11.8,26,1.04,99,3.96,31533,76.54
Kanagawa,30434,108.31,3203,18.73,1367,7.99,11316,66.18,37365,218.51,3692,21.59,865,5.06,6367,37.23,1459,8.53,1262,7.38,406,2.37,27,0.55,1919,39.16,27,2.45,43,3.91,193,17.55,-,-,33,3,31140,110.82
Niigata,14811,221.06,1137,28.43,599,14.98,4317,107.93,5489,137.23,664,16.6,204,5.1,2231,55.78,320,8,259,6.48,85,2.13,34,3.4,250,25,3,0.23,11,0.85,264,20.31,2,0.15,14,1.08,10308,153.85
Toyama,6308,134.21,465,16.61,477,17.04,3849,137.46,7464,266.57,419,14.96,111,3.96,2293,81.89,268,9.57,274,9.79,47,1.68,99,16.5,52,8.67,1,0.2,1,0.2,90,18,-,-,5,1,4730,100.64
Ishikawa,7714,164.13,572,20.43,367,13.11,2017,72.04,9015,321.96,316,11.29,60,2.14,2247,80.25,249,8.89,407,14.54,21,0.75,64,9.14,448,64,-,-,2,0.4,67,13.4,-,-,10,2,5557,118.23
Fukui,5138,131.74,827,33.08,582,23.28,1343,53.72,6791,271.64,226,9.04,106,4.24,999,39.96,175,7,463,18.52,41,1.64,-,-,11,3.67,2,0.33,9,1.5,302,50.33,2,0.33,32,5.33,3196,81.95
Yamanashi,4322,116.81,168,7.64,198,9,511,23.23,4409,200.41,86,3.91,71,3.23,684,31.09,109,4.95,20,0.91,26,1.18,1,0.11,485,53.89,5,0.5,5,0.5,54,5.4,2,0.2,6,0.6,5109,138.08
Nagano,14914,181.88,793,15.55,353,6.92,2862,56.12,9882,193.76,545,10.69,248,4.86,3799,74.49,424,8.31,335,6.57,56,1.1,-,-,660,73.33,8,0.67,14,1.17,157,13.08,-,-,28,2.33,12819,156.33
Gifu,13159,212.24,1087,29.38,381,10.3,1711,46.24,8525,230.41,142,3.84,162,4.38,933,25.22,291,7.86,244,6.59,52,1.41,2,0.18,55,5,5,1,18,3.6,149,29.8,-,-,34,6.8,10685,172.34
Shizuoka,21396,153.93,1617,18.17,926,10.4,3398,38.18,16134,181.28,390,4.38,358,4.02,5049,56.73,729,8.19,662,7.44,149,1.67,2,0.1,292,13.9,10,1,12,1.2,123,12.3,-,-,-,-,18252,131.31
Aichi,31177,177.14,2244,16.75,1363,10.17,5339,39.84,24192,180.54,630,4.7,474,3.54,3459,25.81,921,6.87,1040,7.76,172,1.28,52,1.49,493,14.09,21,1.4,31,2.07,463,30.87,1,0.07,58,3.87,29013,164.85
Mie,8217,117.39,1585,36.86,640,14.88,2910,67.67,8823,205.19,224,5.21,336,7.81,2634,61.26,320,7.44,1027,23.88,47,1.09,9,0.82,61,5.55,5,0.56,2,0.22,168,18.67,3,0.33,11,1.22,8149,116.41
Shiga,7303,125.91,586,17.24,289,8.5,1889,55.56,5877,172.85,376,11.06,185,5.44,1483,43.62,251,7.38,677,19.91,67,1.97,1,0.11,26,2.89,3,0.43,8,1.14,41,5.86,-,-,5,0.71,5860,101.03
Kyoto,13884,156,873,16.47,1143,21.57,3692,69.66,11062,208.72,481,9.08,356,6.72,1957,36.92,334,6.3,682,12.87,94,1.77,5,0.29,165,9.71,1,0.17,13,2.17,150,25,5,0.83,10,1.67,10040,112.81
Osaka,29115,99.37,5531,29.58,2954,15.8,8473,45.31,43220,231.12,1273,6.81,1878,10.04,7080,37.86,1508,8.06,3083,16.49,328,1.75,43,0.84,538,10.55,13,0.76,42,2.47,149,8.76,12,0.71,226,13.29,23776,81.15
Hyogo,22101,125.57,3613,31.97,2090,18.5,5400,47.79,29555,261.55,775,6.86,917,8.12,3836,33.95,981,8.68,2069,18.31,197,1.74,39,1.15,796,23.41,18,1.29,73,5.21,310,22.14,4,0.29,40,2.86,16764,95.25
Nara,5938,131.96,1054,39.04,446,16.52,1148,42.52,7427,275.07,202,7.48,648,24,1000,37.04,258,9.56,393,14.56,30,1.11,4,0.44,176,19.56,9,1.5,13,2.17,144,24,-,-,37,6.17,5555,123.44
Wakayama,6585,143.15,733,27.15,215,7.96,936,34.67,5344,197.93,306,11.33,214,7.93,1515,56.11,291,10.78,312,11.56,38,1.41,10,3.33,43,14.33,5,0.45,12,1.09,82,7.45,-,-,39,3.55,5162,112.22
Tottori,3852,132.83,262,13.79,187,9.84,2110,111.05,3756,197.68,186,9.79,68,3.58,468,24.63,114,6,280,14.74,18,0.95,1,0.2,43,8.6,4,0.8,13,2.6,152,30.4,-,-,12,2.4,3406,117.45
Shimane,4438,164.37,257,17.13,337,22.47,724,48.27,4391,292.73,148,9.87,66,4.4,780,52,240,16,243,16.2,18,1.2,-,-,3,1,8,1,3,0.38,116,14.5,-,-,32,4,3438,127.33
Okayama,10346,161.66,687,18.08,377,9.92,1504,39.58,9526,250.68,184,4.84,252,6.63,434,11.42,376,9.89,717,18.87,111,2.92,9,0.75,144,12,4,0.8,4,0.8,130,26,-,-,23,4.6,7845,122.58
Hiroshima,12840,125.88,1507,23.92,948,15.05,4804,76.25,17190,272.86,250,3.97,392,6.22,1862,29.56,415,6.59,757,12.02,83,1.32,12,0.67,711,39.5,6,0.3,17,0.85,522,26.1,1,0.05,148,7.4,10639,104.3
Yamaguchi,9311,145.48,2235,54.51,304,7.41,3805,92.8,10854,264.73,148,3.61,200,4.88,663,16.17,484,11.8,1687,41.15,52,1.27,-,-,241,26.78,1,0.11,10,1.11,158,17.56,-,-,52,5.78,6583,102.86
Tokushima,6277,179.34,537,25.57,201,9.57,454,21.62,4162,198.19,104,4.95,125,5.95,154,7.33,199,9.48,303,14.43,12,0.57,12,4,10,3.33,4,0.57,4,0.57,120,17.14,-,-,15,2.14,5197,148.49
Kagawa,7260,172.86,510,19.62,286,11,1250,48.08,8401,323.12,110,4.23,151,5.81,447,17.19,310,11.92,922,35.46,57,2.19,6,1.2,28,5.6,6,1.5,4,1,68,17,-,-,22,5.5,4458,106.14
Ehime,8727,189.72,1143,43.96,665,25.58,3502,134.69,10700,411.54,99,3.81,65,2.5,600,23.08,358,13.77,251,9.65,48,1.85,2,0.29,884,126.29,3,0.5,-,-,131,21.83,-,-,26,4.33,6584,143.13
Kochi,8086,202.15,577,26.23,180,8.18,1608,73.09,2889,131.32,109,4.95,290,13.18,581,26.41,183,8.32,688,31.27,29,1.32,-,-,31,10.33,2,0.25,7,0.88,185,23.13,-,-,22,2.75,5708,142.7
Fukuoka,26780,176.18,4066,45.18,1688,18.76,9973,110.81,26977,299.74,1159,12.88,581,6.46,3918,43.53,1118,12.42,2444,27.16,163,1.81,24,0.92,339,13.04,12,0.8,18,1.2,246,16.4,-,-,112,7.47,18640,122.63
Saga,6711,223.7,521,32.56,353,22.06,1419,88.69,4232,264.5,108,6.75,59,3.69,405,25.31,288,18,368,23,15,0.94,-,-,18,6,4,0.67,10,1.67,63,10.5,-,-,44,7.33,4786,159.53
Nagasaki,11669,201.19,892,24.78,546,15.17,3329,92.47,7503,208.42,445,12.36,178,4.94,793,22.03,364,10.11,800,22.22,44,1.22,92,13.14,534,76.29,13,1.08,15,1.25,159,13.25,1,0.08,93,7.75,8456,145.79
Kumamoto,12764,170.19,1063,21.69,457,9.33,2806,57.27,14011,285.94,447,9.12,383,7.82,1114,22.73,859,17.53,1396,28.49,72,1.47,4,0.44,367,40.78,7,0.47,10,0.67,392,26.13,-,-,47,3.13,10884,145.12
Oita,8433,145.4,975,27.08,675,18.75,3618,100.5,15773,438.14,526,14.61,173,4.81,1866,51.83,602,16.72,1071,29.75,86,2.39,1,0.2,211,42.2,5,0.45,4,0.36,57,5.18,-,-,42,3.82,7550,130.17
Miyazaki,9599,239.98,775,33.7,440,19.13,1933,84.04,8350,363.04,205,8.91,99,4.3,707,30.74,351,15.26,441,19.17,42,1.83,1,0.2,159,31.8,1,0.14,1,0.14,64,9.14,-,-,37,5.29,5848,146.2
Kagoshima,12215,177.03,1687,43.26,1304,33.44,3054,78.31,12411,318.23,341,8.74,236,6.05,678,17.38,430,11.03,738,18.92,59,1.51,1,0.14,239,34.14,3,0.25,8,0.67,277,23.08,-,-,7,0.58,8846,128.2
Okinawa,14183,289.45,1311,48.56,344,12.74,1631,60.41,3347,123.96,622,23.04,299,11.07,639,23.67,234,8.67,199,7.37,49,1.81,10,1.11,1335,148.33,4,0.57,17,2.43,23,3.29,-,-,12,1.71,7574,154.57
