"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"21st week, 2026",,,,,,"Data collected as of May 27, 2026"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,174467,46.81,,,,
Hokkaido,8076,48.65,,,,
Aomori,2385,45.87,,,,
Iwate,2977,70.88,,,,
Miyagi,3529,64.16,,,,
Akita,1038,41.52,,,,
Yamagata,1952,51.37,,,,
Fukushima,2566,53.46,,,,
Ibaraki,3506,52.33,,,,
Tochigi,2888,61.45,,,,
Gunma,3042,67.6,,,,
Saitama,11081,63.32,,,,
Chiba,9401,52.81,,,,
Tokyo,18677,44.79,,,,
Kanagawa,13635,56.34,,,,
Niigata,2636,50.69,,,,
Toyama,3062,63.79,,,,
Ishikawa,2599,55.3,,,,
Fukui,1116,28.62,,,,
Yamanashi,1020,29.14,,,,
Nagano,2944,58.88,,,,
Gifu,1604,35.64,,,,
Shizuoka,4007,37.1,,,,
Aichi,9087,55.75,,,,
Mie,2100,30.43,,,,
Shiga,1552,39.79,,,,
Kyoto,2572,42.16,,,,
Osaka,9025,31.56,,,,
Hyogo,6757,41.71,,,,
Nara,1505,35.83,,,,
Wakayama,1534,34.86,,,,
Tottori,1383,47.69,,,,
Shimane,880,44,,,,
Okayama,2061,41.22,,,,
Hiroshima,3737,40.18,,,,
Yamaguchi,2796,45.84,,,,
Tokushima,902,27.33,,,,
Kagawa,780,33.91,,,,
Ehime,1957,51.5,,,,
Kochi,1068,28.11,,,,
Fukuoka,5605,45.94,,,,
Saga,1022,42.58,,,,
Nagasaki,2412,47.29,,,,
Kumamoto,3323,46.8,,,,
Oita,2573,44.36,,,,
Miyazaki,1093,39.04,,,,
Kagoshima,2775,48.68,,,,
Okinawa,2227,50.61,,,,
