"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2023",,,,,,"Data collected as of February 22, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,347983,70.36,5912,1.88,2836,0.9,8434,2.68,147751,46.91,1659,0.53,2062,0.65,173,0.05,4803,1.52,1020,0.32,575,0.18,45,0.06,1019,1.47,44,0.09,52,0.11,61,0.13,3,0.01,28,0.06
Hokkaido,15072,66.11,666,4.83,218,1.58,599,4.34,2425,17.57,124,0.9,24,0.17,2,0.01,114,0.83,22,0.16,12,0.09,1,0.03,23,0.79,-,-,-,-,6,0.26,-,-,2,0.09
Aomori,4916,76.81,67,1.6,26,0.62,40,0.95,1930,45.95,11,0.26,5,0.12,3,0.07,62,1.48,1,0.02,10,0.24,-,-,2,0.2,1,0.17,-,-,15,2.5,-,-,-,-
Iwate,3832,60.83,161,4.03,19,0.48,258,6.45,1849,46.23,8,0.2,5,0.13,-,-,73,1.83,2,0.05,6,0.15,-,-,17,1.31,1,0.05,1,0.05,2,0.11,-,-,9,0.47
Miyagi,2069,21.78,194,3.34,58,1,123,2.12,2949,50.84,27,0.47,6,0.1,6,0.1,101,1.74,-,-,8,0.14,-,-,14,1.17,1,0.08,-,-,3,0.25,-,-,-,-
Akita,1890,37.06,32,0.97,21,0.64,80,2.42,923,27.97,11,0.33,6,0.18,4,0.12,40,1.21,32,0.97,4,0.12,-,-,5,0.71,-,-,-,-,1,0.13,-,-,-,-
Yamagata,1181,27.47,103,3.68,20,0.71,81,2.89,1805,64.46,15,0.54,7,0.25,1,0.04,70,2.5,1,0.04,7,0.25,-,-,6,0.75,3,0.3,-,-,-,-,-,-,-,-
Fukushima,2123,25.58,540,10.8,59,1.18,124,2.48,2136,42.72,14,0.28,6,0.12,3,0.06,120,2.4,1,0.02,9,0.18,-,-,22,1.69,1,0.14,-,-,-,-,-,-,-,-
Ibaraki,4980,41.85,81,1.09,37,0.5,187,2.53,2788,37.68,19,0.26,3,0.04,2,0.03,66,0.89,5,0.07,11,0.15,-,-,79,4.65,-,-,-,-,5,0.42,-,-,1,0.08
