"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2023",,,,,,"Data collected as of February 22, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,62101,12.56,1009,0.32,554,0.18,1660,0.53,23029,7.31,264,0.08,242,0.08,46,0.01,686,0.22,157,0.05,96,0.03,5,0.01,155,0.22,8,0.02,10,0.02,8,0.02,-,-,10,0.02
Hokkaido,2814,12.29,182,1.31,26,0.19,154,1.11,442,3.18,25,0.18,-,-,1,0.01,19,0.14,3,0.02,1,0.01,-,-,5,0.17,-,-,-,-,-,-,-,-,-,-
Aomori,1060,16.56,21,0.5,6,0.14,5,0.12,396,9.43,2,0.05,2,0.05,2,0.05,11,0.26,-,-,4,0.1,-,-,-,-,-,-,-,-,3,0.5,-,-,-,-
Iwate,2141,33.98,32,0.8,2,0.05,55,1.38,298,7.45,1,0.03,-,-,-,-,10,0.25,-,-,1,0.03,-,-,1,0.07,-,-,-,-,-,-,-,-,5,0.26
Miyagi,415,4.37,35,0.6,12,0.21,26,0.45,491,8.47,1,0.02,1,0.02,-,-,13,0.22,-,-,2,0.03,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Akita,578,11.33,5,0.15,2,0.06,15,0.45,202,6.12,2,0.06,3,0.09,1,0.03,4,0.12,3,0.09,-,-,-,-,2,0.29,-,-,-,-,1,0.13,-,-,-,-
Yamagata,262,6.09,18,0.64,1,0.04,13,0.46,335,11.96,3,0.11,2,0.07,-,-,15,0.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukushima,301,3.63,59,1.18,9,0.18,26,0.52,392,7.84,3,0.06,1,0.02,-,-,19,0.38,-,-,1,0.02,-,-,4,0.31,1,0.14,-,-,-,-,-,-,-,-
Ibaraki,862,7.18,5,0.07,7,0.09,39,0.52,403,5.37,1,0.01,1,0.01,1,0.01,5,0.07,2,0.03,1,0.01,-,-,10,0.59,-,-,-,-,1,0.08,-,-,-,-
Tochigi,844,11.11,2,0.04,4,0.08,36,0.75,343,7.15,3,0.06,2,0.04,-,-,12,0.25,-,-,2,0.04,-,-,8,0.67,-,-,-,-,-,-,-,-,-,-
Gunma,333,3.87,8,0.15,5,0.09,24,0.45,432,8.15,7,0.13,1,0.02,-,-,18,0.34,1,0.02,3,0.06,-,-,1,0.07,-,-,-,-,-,-,-,-,-,-
Saitama,2545,9.98,22,0.14,36,0.23,59,0.37,1160,7.25,21,0.13,14,0.09,5,0.03,38,0.24,-,-,8,0.05,-,-,8,0.2,-,-,-,-,-,-,-,-,-,-
Chiba,2180,10.28,4,0.03,2,0.02,66,0.5,906,6.86,10,0.08,2,0.02,1,0.01,11,0.08,2,0.02,4,0.03,-,-,8,0.24,-,-,-,-,-,-,-,-,-,-
Tokyo,4138,10.04,9,0.03,25,0.1,92,0.35,1835,7.06,24,0.09,16,0.06,5,0.02,53,0.2,6,0.02,7,0.03,1,0.03,2,0.05,1,0.04,1,0.04,-,-,-,-,-,-
Kanagawa,4832,13.57,15,0.07,27,0.12,74,0.33,1425,6.31,11,0.05,4,0.02,3,0.01,48,0.21,2,0.01,4,0.02,1,0.02,15,0.31,-,-,1,0.09,-,-,-,-,1,0.09
Niigata,500,5.75,29,0.52,11,0.2,75,1.34,379,6.77,6,0.11,4,0.07,1,0.02,10,0.18,2,0.04,3,0.05,-,-,-,-,1,0.08,-,-,1,0.08,-,-,1,0.08
Toyama,1343,27.98,36,1.24,13,0.45,19,0.66,356,12.28,4,0.14,-,-,-,-,4,0.14,1,0.03,3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ishikawa,2229,46.44,20,0.69,4,0.14,8,0.28,327,11.28,5,0.17,5,0.17,-,-,8,0.28,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukui,1811,48.95,6,0.26,22,0.96,14,0.61,119,5.17,-,-,12,0.52,-,-,3,0.13,-,-,1,0.04,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Yamanashi,80,1.95,6,0.25,-,-,-,-,273,11.38,-,-,1,0.04,-,-,4,0.17,-,-,-,-,-,-,4,0.44,-,-,-,-,-,-,-,-,1,0.1
Nagano,952,10.94,9,0.17,17,0.32,10,0.19,478,9.02,2,0.04,-,-,1,0.02,8,0.15,1,0.02,2,0.04,-,-,8,0.8,-,-,-,-,-,-,-,-,-,-
Gifu,274,3.15,10,0.19,7,0.13,6,0.11,224,4.23,1,0.02,1,0.02,-,-,7,0.13,-,-,-,-,-,-,4,0.36,-,-,2,0.4,-,-,-,-,-,-
Shizuoka,449,3.23,36,0.4,28,0.31,18,0.2,802,9.01,5,0.06,1,0.01,-,-,21,0.24,1,0.01,2,0.02,-,-,5,0.23,1,0.1,1,0.1,-,-,-,-,-,-
Aichi,1750,8.97,10,0.05,16,0.09,93,0.51,1277,7.02,20,0.11,3,0.02,3,0.02,23,0.13,-,-,4,0.02,-,-,4,0.11,1,0.07,1,0.07,-,-,-,-,-,-
Mie,493,6.85,-,-,9,0.2,3,0.07,249,5.53,3,0.07,1,0.02,-,-,6,0.13,-,-,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shiga,904,15.07,1,0.03,11,0.31,10,0.28,227,6.31,8,0.22,-,-,2,0.06,4,0.11,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyoto,2974,23.79,3,0.04,11,0.14,64,0.84,351,4.62,6,0.08,7,0.09,1,0.01,8,0.11,3,0.04,2,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Osaka,6584,22.09,40,0.21,23,0.12,79,0.41,1288,6.64,22,0.11,13,0.07,2,0.01,36,0.19,8,0.04,8,0.04,1,0.02,8,0.15,-,-,-,-,-,-,-,-,1,0.06
Hyogo,2828,14.21,27,0.21,33,0.26,39,0.3,1202,9.32,9,0.07,23,0.18,4,0.03,25,0.19,2,0.02,3,0.02,-,-,10,0.29,1,0.07,-,-,-,-,-,-,-,-
Nara,912,16.58,15,0.44,-,-,6,0.18,241,7.09,2,0.06,3,0.09,-,-,5,0.15,-,-,-,-,-,-,1,0.1,-,-,-,-,1,0.17,-,-,-,-
Wakayama,525,10.71,1,0.03,5,0.17,11,0.37,155,5.17,5,0.17,2,0.07,-,-,4,0.13,-,-,1,0.03,-,-,-,-,1,0.09,2,0.18,-,-,-,-,-,-
Tottori,90,3.1,2,0.11,1,0.05,36,1.89,152,8,1,0.05,-,-,-,-,7,0.37,2,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,297,7.82,-,-,12,0.52,8,0.35,223,9.7,2,0.09,2,0.09,1,0.04,9,0.39,1,0.04,2,0.09,-,-,4,1.33,-,-,-,-,-,-,-,-,-,-
Okayama,789,9.39,8,0.15,13,0.24,9,0.17,384,7.11,3,0.06,4,0.07,1,0.02,6,0.11,1,0.02,3,0.06,1,0.08,4,0.33,-,-,-,-,-,-,-,-,-,-
Hiroshima,965,8.39,18,0.25,12,0.17,22,0.31,596,8.28,2,0.03,-,-,1,0.01,21,0.29,2,0.03,-,-,1,0.05,4,0.21,-,-,-,-,-,-,-,-,-,-
Yamaguchi,402,6.09,16,0.36,25,0.56,20,0.44,433,9.62,3,0.07,3,0.07,1,0.02,16,0.36,3,0.07,1,0.02,-,-,3,0.33,-,-,-,-,1,0.11,-,-,-,-
Tokushima,224,6.05,5,0.22,1,0.04,1,0.04,166,7.22,-,-,1,0.04,1,0.04,7,0.3,1,0.04,1,0.04,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-
Kagawa,795,16.91,17,0.61,5,0.18,1,0.04,284,10.14,6,0.21,-,-,-,-,9,0.32,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,387,6.34,26,0.7,2,0.05,27,0.73,649,17.54,1,0.03,-,-,-,-,19,0.51,-,-,2,0.05,-,-,6,0.75,-,-,-,-,-,-,-,-,-,-
Kochi,455,10.11,8,0.3,2,0.07,11,0.41,182,6.74,2,0.07,7,0.26,-,-,5,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13
Fukuoka,3929,19.84,57,0.48,23,0.19,194,1.62,871,7.26,13,0.11,18,0.15,1,0.01,46,0.38,43,0.36,3,0.03,-,-,7,0.27,-,-,1,0.07,-,-,-,-,-,-
Saga,767,19.67,18,0.78,4,0.17,7,0.3,94,4.09,1,0.04,3,0.13,-,-,10,0.43,10,0.43,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-
Nagasaki,1055,15.07,63,1.43,9,0.2,88,2,189,4.3,7,0.16,4,0.09,2,0.05,13,0.3,7,0.16,1,0.02,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
Kumamoto,731,9.14,53,1.06,8,0.16,11,0.22,330,6.6,4,0.08,4,0.08,-,-,22,0.44,29,0.58,4,0.08,-,-,4,0.44,-,-,-,-,-,-,-,-,-,-
Oita,846,14.59,1,0.03,9,0.25,18,0.5,431,11.97,2,0.06,-,-,2,0.06,12,0.33,1,0.03,5,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Miyazaki,1049,18.09,10,0.28,18,0.5,20,0.56,521,14.47,1,0.03,1,0.03,1,0.03,12,0.33,12,0.33,-,-,-,-,7,1.17,-,-,-,-,-,-,-,-,-,-
Kagoshima,387,4.21,33,0.61,31,0.57,14,0.26,468,8.67,1,0.02,9,0.17,1,0.02,16,0.3,6,0.11,3,0.06,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-
Okinawa,1020,18.55,8,0.25,5,0.16,34,1.06,48,1.5,3,0.09,61,1.91,1,0.03,4,0.13,1,0.03,1,0.03,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
