"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11th week, 2023",,,,,,"Data collected as of March 22, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,550648,111.44,10279,3.27,4861,1.54,14628,4.65,221573,70.39,2477,0.79,2915,0.93,289,0.09,7435,2.36,1619,0.51,941,0.3,68,0.1,1555,2.24,85,0.18,87,0.18,96,0.2,4,0.01,52,0.11
Hokkaido,25743,112.91,1639,11.88,343,2.49,1107,8.02,4070,29.49,180,1.3,35,0.25,3,0.02,159,1.15,34,0.25,19,0.14,1,0.03,36,1.24,-,-,-,-,8,0.35,-,-,3,0.13
Aomori,8496,132.75,102,2.43,41,0.98,72,1.71,2975,70.83,27,0.64,9,0.21,6,0.14,94,2.24,3,0.07,16,0.38,-,-,4,0.4,1,0.17,-,-,23,3.83,-,-,-,-
Iwate,11193,180.53,283,7.08,32,0.8,443,11.08,2797,69.93,14,0.35,9,0.23,-,-,120,3,2,0.05,10,0.25,-,-,25,1.92,2,0.11,1,0.05,4,0.21,-,-,9,0.47
Miyagi,3617,38.07,294,5.07,78,1.34,197,3.4,4969,85.67,43,0.74,10,0.17,10,0.17,163,2.81,-,-,15,0.26,-,-,26,2.17,2,0.17,1,0.08,7,0.58,-,-,-,-
Akita,4506,88.35,41,1.24,33,1,147,4.45,1431,43.36,26,0.79,7,0.21,7,0.21,53,1.61,34,1.03,7,0.21,-,-,7,1,-,-,-,-,1,0.13,-,-,-,-
Yamagata,3473,78.93,152,5.24,45,1.55,142,4.9,2572,88.69,23,0.79,11,0.38,1,0.03,120,4.14,1,0.03,11,0.38,-,-,9,1.13,3,0.3,-,-,-,-,-,-,1,0.1
Fukushima,4158,50.1,712,14.24,91,1.82,233,4.66,3310,66.2,19,0.38,6,0.12,5,0.1,191,3.82,2,0.04,15,0.3,-,-,48,3.69,2,0.29,-,-,1,0.14,-,-,-,-
Ibaraki,8651,72.7,105,1.42,85,1.15,325,4.39,3986,53.86,40,0.54,16,0.22,4,0.05,100,1.35,6,0.08,19,0.26,1,0.06,106,6.24,-,-,-,-,7,0.58,-,-,1,0.08
Tochigi,7021,92.38,37,0.77,24,0.5,185,3.85,2950,61.46,34,0.71,23,0.48,1,0.02,134,2.79,4,0.08,6,0.13,-,-,31,2.58,1,0.14,1,0.14,-,-,-,-,1,0.14
Gunma,4584,53.3,70,1.32,91,1.72,122,2.3,3917,73.91,72,1.36,12,0.23,11,0.21,168,3.17,9,0.17,20,0.38,-,-,31,2.21,-,-,-,-,-,-,-,-,-,-
Saitama,24054,95.08,234,1.47,235,1.48,543,3.42,12681,79.75,167,1.05,75,0.47,21,0.13,389,2.45,14,0.09,77,0.48,9,0.23,84,2.1,3,0.27,8,0.73,2,0.18,-,-,3,0.27
Chiba,18792,89.91,102,0.78,65,0.5,505,3.88,9779,75.22,113,0.87,19,0.15,10,0.08,212,1.63,11,0.08,41,0.32,1,0.03,80,2.35,1,0.13,3,0.38,-,-,-,-,-,-
Tokyo,37502,91.25,220,0.85,266,1.03,826,3.19,19869,76.71,218,0.84,110,0.42,26,0.1,598,2.31,33,0.13,91,0.35,3,0.08,35,0.92,8,0.33,9,0.38,3,0.13,2,0.08,3,0.13
Kanagawa,39700,110.89,173,0.77,140,0.62,641,2.84,15481,68.5,126,0.56,78,0.35,24,0.11,474,2.1,36,0.16,85,0.38,3,0.06,206,4.12,6,0.55,7,0.64,3,0.27,-,-,1,0.09
Niigata,7616,88.56,392,7,118,2.11,564,10.07,3363,60.05,45,0.8,31,0.55,4,0.07,136,2.43,6,0.11,23,0.41,-,-,11,1.1,1,0.08,3,0.25,1,0.08,-,-,1,0.08
Toyama,9518,198.29,223,7.69,101,3.48,232,8,3365,116.03,30,1.03,8,0.28,2,0.07,53,1.83,10,0.34,6,0.21,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,13199,274.98,200,6.9,58,2,87,3,3038,104.76,30,1.03,62,2.14,1,0.03,78,2.69,5,0.17,6,0.21,1,0.14,31,4.43,-,-,1,0.2,4,0.8,-,-,-,-
Fukui,9617,259.92,73,3.17,111,4.83,146,6.35,1396,60.7,48,2.09,110,4.78,3,0.13,49,2.13,12,0.52,8,0.35,-,-,2,0.67,3,0.5,2,0.33,-,-,-,-,-,-
Yamanashi,1277,31.15,60,2.5,5,0.21,14,0.58,1955,81.46,3,0.13,4,0.17,1,0.04,62,2.58,1,0.04,9,0.38,-,-,28,3.11,1,0.1,-,-,-,-,-,-,3,0.3
Nagano,7116,81.79,164,3.09,41,0.77,117,2.21,4720,89.06,36,0.68,12,0.23,3,0.06,98,1.85,18,0.34,12,0.23,3,0.3,37,3.7,-,-,1,0.08,3,0.25,-,-,-,-
Gifu,3543,40.72,58,1.09,94,1.77,69,1.3,2187,41.26,7,0.13,14,0.26,2,0.04,87,1.64,2,0.04,3,0.06,-,-,22,2,-,-,4,0.8,-,-,-,-,1,0.2
Shizuoka,6104,44.23,262,2.94,168,1.89,175,1.97,6311,70.91,67,0.75,17,0.19,8,0.09,191,2.15,4,0.04,44,0.49,-,-,26,1.18,6,0.6,3,0.3,2,0.2,-,-,-,-
Aichi,18100,92.82,156,0.86,204,1.12,774,4.25,11428,62.79,106,0.58,42,0.23,15,0.08,290,1.59,8,0.04,32,0.18,-,-,28,0.8,5,0.33,4,0.27,-,-,-,-,1,0.07
Mie,6079,85.62,26,0.59,114,2.59,80,1.82,2615,59.43,39,0.89,11,0.25,4,0.09,109,2.48,2,0.05,9,0.2,-,-,5,0.42,2,0.22,4,0.44,2,0.22,-,-,-,-
Shiga,7358,122.63,21,0.58,62,1.72,116,3.22,2103,58.42,40,1.11,19,0.53,3,0.08,48,1.33,4,0.11,6,0.17,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,22542,181.79,139,1.85,126,1.68,573,7.64,4155,55.4,86,1.15,81,1.08,13,0.17,124,1.65,42,0.56,9,0.12,1,0.06,13,0.72,-,-,1,0.14,2,0.29,-,-,2,0.29
Osaka,55785,187.83,530,2.73,260,1.34,866,4.46,12569,64.79,146,0.75,160,0.82,19,0.1,378,1.95,74,0.38,65,0.34,7,0.14,70,1.37,-,-,4,0.25,-,-,-,-,4,0.25
Hyogo,24341,122.32,280,2.17,209,1.62,370,2.87,11293,87.54,95,0.74,224,1.74,12,0.09,237,1.84,46,0.36,25,0.19,3,0.09,89,2.54,5,0.36,5,0.36,-,-,-,-,-,-
Nara,7326,133.2,95,2.79,58,1.71,96,2.82,2190,64.41,20,0.59,65,1.91,4,0.12,81,2.38,10,0.29,5,0.15,-,-,30,3,4,0.67,3,0.5,1,0.17,1,0.17,-,-
Wakayama,4826,98.49,65,2.17,25,0.83,97,3.23,1456,48.53,19,0.63,27,0.9,-,-,53,1.77,1,0.03,6,0.2,1,0.25,1,0.25,2,0.18,3,0.27,3,0.27,-,-,-,-
Tottori,1200,41.38,12,0.63,27,1.42,265,13.95,1530,80.53,10,0.53,9,0.47,2,0.11,56,2.95,6,0.32,1,0.05,-,-,2,0.4,1,0.2,-,-,-,-,-,-,4,0.8
Shimane,2354,61.95,8,0.35,37,1.61,46,2,1768,76.87,31,1.35,64,2.78,1,0.04,94,4.09,6,0.26,3,0.13,-,-,6,2,3,0.38,-,-,-,-,-,-,-,-
