"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11th week, 2023",,,,,,"Data collected as of March 22, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Wakayama,232,4.73,2,0.07,3,0.1,16,0.53,120,4,-,-,1,0.03,-,-,9,0.3,-,-,-,-,-,-,-,-,-,-,-,-,1,0.09,-,-,-,-
Tottori,132,4.55,-,-,6,0.32,28,1.47,189,9.95,2,0.11,-,-,-,-,5,0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.2
Shimane,160,4.21,-,-,4,0.17,4,0.17,112,4.87,7,0.3,-,-,-,-,7,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,871,10.37,12,0.22,6,0.11,9,0.17,216,4,2,0.04,7,0.13,1,0.02,5,0.09,-,-,3,0.06,-,-,4,0.33,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,1114,9.69,15,0.21,27,0.38,17,0.24,360,5,5,0.07,-,-,1,0.01,18,0.25,2,0.03,4,0.06,-,-,10,0.53,-,-,-,-,-,-,-,-,-,-
Yamaguchi,616,9.33,16,0.36,5,0.11,33,0.73,251,5.58,4,0.09,-,-,2,0.04,12,0.27,5,0.11,2,0.04,-,-,5,0.56,-,-,-,-,-,-,-,-,-,-
Tokushima,227,6.14,2,0.09,2,0.09,3,0.13,142,6.17,1,0.04,-,-,-,-,8,0.35,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,479,10.19,5,0.18,5,0.18,2,0.07,124,4.43,-,-,-,-,-,-,7,0.25,1,0.04,1,0.04,-,-,1,0.2,-,-,-,-,-,-,-,-,-,-
Ehime,416,6.82,10,0.27,4,0.11,16,0.43,384,10.38,-,-,1,0.03,-,-,21,0.57,-,-,1,0.03,-,-,3,0.38,-,-,-,-,-,-,-,-,-,-
Kochi,162,3.6,7,0.26,3,0.11,11,0.41,104,3.85,3,0.11,6,0.22,-,-,7,0.26,2,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukuoka,1968,9.94,86,0.72,32,0.27,198,1.65,764,6.37,8,0.07,8,0.07,-,-,43,0.36,32,0.27,5,0.04,-,-,2,0.08,-,-,-,-,1,0.07,-,-,-,-
Saga,285,7.31,31,1.35,3,0.13,9,0.39,70,3.04,-,-,2,0.09,-,-,20,0.87,19,0.83,-,-,-,-,1,0.25,1,0.17,-,-,-,-,-,-,-,-
Nagasaki,377,5.39,32,0.73,13,0.3,81,1.84,122,2.77,4,0.09,5,0.11,-,-,14,0.32,6,0.14,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kumamoto,554,6.93,59,1.18,10,0.2,2,0.04,255,5.1,4,0.08,1,0.02,-,-,26,0.52,47,0.94,2,0.04,-,-,1,0.11,-,-,1,0.07,-,-,-,-,-,-
Oita,645,11.12,2,0.06,14,0.39,16,0.44,459,12.75,4,0.11,2,0.06,-,-,15,0.42,1,0.03,2,0.06,-,-,4,0.8,-,-,-,-,1,0.09,-,-,-,-
Miyazaki,335,5.78,20,0.56,17,0.47,15,0.42,308,8.56,2,0.06,3,0.08,-,-,16,0.44,17,0.47,1,0.03,3,0.5,3,0.5,-,-,-,-,-,-,-,-,-,-
Kagoshima,332,3.61,67,1.24,21,0.39,24,0.44,562,10.41,3,0.06,4,0.07,1,0.02,16,0.3,3,0.06,4,0.07,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Okinawa,496,9.02,8,0.25,5,0.16,50,1.56,75,2.34,2,0.06,97,3.03,2,0.06,2,0.06,2,0.06,-,-,-,-,3,0.33,-,-,1,0.14,-,-,-,-,-,-
