Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2026-01-01,2026/01/01,2026 January,Total,甲乙丙类传染病总计,1898294,1930,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D999,Total,甲乙丙类传染病总计
2026-01-01,2026/01/01,2026 January,Plague,鼠疫,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D001,Plague,鼠疫
2026-01-01,2026/01/01,2026 January,Cholera,霍乱,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D002,Cholera,霍乱
2026-01-01,2026/01/01,2026 January,COVID-19,新型冠状病毒感染,17916,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D004,COVID-19,新型冠状病毒感染
2026-01-01,2026/01/01,2026 January,SARS,传染性非典型肺炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D003,SARS,传染性非典型肺炎
2026-01-01,2026/01/01,2026 January,HIV/AIDS,艾滋病,2805,1649,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D005,HIV/AIDS,艾滋病
2026-01-01,2026/01/01,2026 January,Viral Hepatitis,病毒性肝炎,127961,70,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D006,Viral Hepatitis,病毒性肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis A,甲型肝炎,1167,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D007,Hepatitis A,甲型肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis B,乙型肝炎,109248,37,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D008,Hepatitis B,乙型肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis C,丙型肝炎,14084,31,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D009,Hepatitis C,丙型肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis D,丁型肝炎,25,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D010,Hepatitis D,丁型肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis E,戊型肝炎,2865,2,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D011,Hepatitis E,戊型肝炎
2026-01-01,2026/01/01,2026 January,Other Hepatitis,未分型肝炎,572,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D012,Other Hepatitis,未分型肝炎
2026-01-01,2026/01/01,2026 January,Poliomyelitis,脊髓灰质炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D013,Poliomyelitis,脊髓灰质炎
