"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2025",,,,,,"Data collected as of December 3, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,30205,368.35,1372,26.9,426,8.35,3834,75.18,12155,238.33,654,12.82,401,7.86,4307,84.45,570,11.18,1038,20.35,74,1.45,-,-,807,89.67,12,1,19,1.58,323,26.92,1,0.08,28,2.33,18274,222.85
Gifu,19846,348.18,1584,46.59,455,13.38,2042,60.06,11045,324.85,180,5.29,191,5.62,1516,44.59,377,11.09,411,12.09,62,1.82,2,0.18,112,10.18,6,1.2,26,5.2,267,53.4,-,-,34,6.8,13872,243.37
Shizuoka,41827,300.91,3245,36.46,1106,12.43,4807,54.01,20057,225.36,565,6.35,677,7.61,6345,71.29,1045,11.74,1522,17.1,210,2.36,5,0.24,546,26,14,1.4,29,2.9,235,23.5,-,-,-,-,26588,191.28
Aichi,62264,366.26,3649,29.67,1616,13.14,6883,55.96,29826,242.49,848,6.89,659,5.36,6172,50.18,1247,10.14,1506,12.24,225,1.83,60,1.76,802,23.59,31,2.21,47,3.36,931,66.5,1,0.07,61,4.36,41701,245.3
Mie,19830,283.29,2668,62.05,812,18.88,3675,85.47,10926,254.09,289,6.72,386,8.98,3370,78.37,457,10.63,1237,28.77,52,1.21,10,0.91,125,11.36,8,0.89,5,0.56,269,29.89,3,0.33,11,1.22,12143,173.47
Shiga,15648,269.79,948,27.88,337,9.91,2708,79.65,7597,223.44,602,17.71,235,6.91,2026,59.59,351,10.32,784,23.06,78,2.29,2,0.22,31,3.44,4,0.57,12,1.71,57,8.14,-,-,5,0.71,8294,143
Kyoto,27352,329.54,1540,31.43,1497,30.55,5565,113.57,12691,259,707,14.43,466,9.51,2412,49.22,445,9.08,786,16.04,123,2.51,6,0.35,220,12.94,2,0.33,18,3,329,54.83,11,1.83,15,2.5,14221,171.34
Osaka,72789,249.28,9625,51.75,3926,21.11,11797,63.42,51776,278.37,1817,9.77,2172,11.68,9510,51.13,2044,10.99,3726,20.03,448,2.41,48,0.94,1221,23.94,16,0.94,53,3.12,221,13,21,1.24,227,13.35,35696,122.25
Hyogo,52610,305.87,5591,50.83,2621,23.83,7527,68.43,35399,321.81,1111,10.1,1153,10.48,5694,51.76,1305,11.86,2350,21.36,257,2.34,47,1.38,1071,31.5,26,1.86,103,7.36,404,28.86,9,0.64,41,2.93,26200,152.33
Nara,12926,293.77,1743,67.04,543,20.88,1594,61.31,8889,341.88,270,10.38,740,28.46,1506,57.92,360,13.85,450,17.31,36,1.38,4,0.44,286,31.78,12,2,18,3,251,41.83,-,-,37,6.17,7899,179.52
Wakayama,12730,282.89,1451,53.74,331,12.26,1246,46.15,6337,234.7,410,15.19,246,9.11,2199,81.44,396,14.67,432,16,58,2.15,10,3.33,95,31.67,6,0.55,14,1.27,138,12.55,-,-,39,3.55,7791,173.13
Tottori,6012,207.31,595,31.32,222,11.68,2894,152.32,4995,262.89,272,14.32,72,3.79,584,30.74,156,8.21,307,16.16,21,1.11,1,0.2,109,21.8,5,1,17,3.4,329,65.8,1,0.2,12,2.4,4983,171.83
Shimane,6657,266.28,523,37.36,435,31.07,861,61.5,5214,372.43,209,14.93,119,8.5,1007,71.93,338,24.14,267,19.07,20,1.43,-,-,23,7.67,8,1,4,0.5,195,24.38,-,-,32,4,4689,187.56
Okayama,16839,285.41,1263,36.09,440,12.57,1876,53.6,10802,308.63,262,7.49,363,10.37,1003,28.66,511,14.6,814,23.26,134,3.83,13,1.08,210,17.5,6,1.2,14,2.8,227,45.4,-,-,24,4.8,11905,201.78
Hiroshima,22312,223.12,2572,42.16,1210,19.84,6318,103.57,20196,331.08,368,6.03,639,10.48,2771,45.43,547,8.97,946,15.51,104,1.7,16,0.89,1062,59,6,0.3,27,1.35,1041,52.05,1,0.05,148,7.4,16555,165.55
Yamaguchi,18206,284.47,3289,82.23,400,10,5395,134.88,12858,321.45,226,5.65,272,6.8,1536,38.4,703,17.58,1741,43.53,67,1.68,-,-,346,38.44,3,0.33,11,1.22,277,30.78,-,-,52,5.78,11692,182.69
Tokushima,8233,242.15,918,43.71,243,11.57,608,28.95,4976,236.95,113,5.38,136,6.48,460,21.9,267,12.71,417,19.86,17,0.81,12,4,13,4.33,4,0.57,4,0.57,223,31.86,-,-,15,2.14,7771,228.56
Kagawa,10829,257.83,1178,45.31,353,13.58,1558,59.92,10084,387.85,146,5.62,238,9.15,924,35.54,410,15.77,1021,39.27,78,3,6,1.2,44,8.8,9,2.25,7,1.75,136,34,-,-,23,5.75,6814,162.24
Ehime,14256,331.53,1746,72.75,805,33.54,4896,204,12042,501.75,161,6.71,76,3.17,1418,59.08,483,20.13,452,18.83,59,2.46,4,0.57,1194,170.57,3,0.5,2,0.33,233,38.83,-,-,27,4.5,10382,241.44
Kochi,9907,254.03,1019,48.52,239,11.38,1931,91.95,3420,162.86,177,8.43,389,18.52,830,39.52,242,11.52,796,37.9,34,1.62,-,-,33,11,3,0.38,7,0.88,303,37.88,-,-,23,2.88,8682,222.62
Fukuoka,44601,311.9,6423,76.46,2268,27,13361,159.06,32064,381.71,1408,16.76,1051,12.51,5918,70.45,1522,18.12,2585,30.77,207,2.46,37,1.42,901,34.65,13,0.87,30,2,415,27.67,1,0.07,112,7.47,25736,179.97
Saga,8166,291.64,913,60.87,405,27,1822,121.47,4793,319.53,129,8.6,111,7.4,1090,72.67,400,26.67,400,26.67,21,1.4,-,-,39,13,6,1,13,2.17,91,15.17,-,-,44,7.33,6399,228.54
Nagasaki,18219,325.34,1562,45.94,764,22.47,4056,119.29,8627,253.74,557,16.38,278,8.18,1975,58.09,506,14.88,848,24.94,56,1.65,102,14.57,777,111,17,1.42,33,2.75,322,26.83,2,0.17,93,7.75,12661,226.09
Kumamoto,20741,280.28,1727,35.98,582,12.13,3371,70.23,16840,350.83,560,11.67,545,11.35,2627,54.73,1163,24.23,1484,30.92,99,2.06,4,0.44,541,60.11,9,0.6,15,1,684,45.6,1,0.07,47,3.13,16073,217.2
Oita,19320,333.1,2063,57.31,943,26.19,4745,131.81,19656,546,683,18.97,348,9.67,3317,92.14,830,23.06,1140,31.67,134,3.72,1,0.2,256,51.2,5,0.45,7,0.64,112,10.18,-,-,42,3.82,12532,216.07
Miyazaki,12233,339.81,1199,57.1,558,26.57,2484,118.29,9822,467.71,274,13.05,103,4.9,1422,67.71,441,21,506,24.1,48,2.29,3,0.6,371,74.2,1,0.14,3,0.43,103,14.71,-,-,37,5.29,8673,240.92
Kagoshima,16578,251.18,2571,71.42,1585,44.03,3930,109.17,14215,394.86,414,11.5,311,8.64,1887,52.42,570,15.83,958,26.61,79,2.19,1,0.14,318,45.43,5,0.42,20,1.67,422,35.17,1,0.08,7,0.58,13323,201.86
Okinawa,23234,484.04,1422,52.67,522,19.33,2011,74.48,4612,170.81,796,29.48,795,29.44,1001,37.07,330,12.22,293,10.85,61,2.26,12,1.33,1909,212.11,6,0.86,25,3.57,27,3.86,-,-,12,1.71,9374,195.29
