"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46th week, 2023",,,,,,"Data collected as of November 22, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1502572,304.72,144445,46,114643,36.51,183177,58.34,658611,209.75,13386,4.26,91624,29.18,1970,0.63,36932,11.76,193610,61.66,6334,2.02,375,0.54,14067,20.27,360,0.75,618,1.29,829,1.73,23,0.05,134,0.28,1257649,255.05
Hokkaido,65200,291.07,9107,65.99,6486,47,10013,72.56,13569,98.33,673,4.88,1099,7.96,53,0.38,850,6.16,11020,79.86,191,1.38,6,0.21,203,7,5,0.22,5,0.22,41,1.78,1,0.04,7,0.3,58125,259.49
Aomori,15114,247.77,893,22.9,506,12.97,570,14.62,6375,163.46,100,2.56,634,16.26,15,0.38,380,9.74,2910,74.62,49,1.26,5,0.56,40,4.44,6,1,8,1.33,173,28.83,-,-,-,-,14378,235.7
Iwate,17514,282.48,1582,40.56,447,11.46,1986,50.92,8429,216.13,109,2.79,861,22.08,53,1.36,615,15.77,4404,112.92,62,1.59,-,-,168,12.92,12,0.63,9,0.47,37,1.95,1,0.05,16,0.84,19414,313.13
Miyagi,20640,226.81,3070,55.82,1026,18.65,1588,28.87,10895,198.09,244,4.44,1887,34.31,40,0.73,706,12.84,6923,125.87,117,2.13,2,0.18,124,11.27,6,0.6,3,0.3,28,2.8,-,-,-,-,27548,302.73
Akita,10626,208.35,696,21.09,188,5.7,545,16.52,4066,123.21,145,4.39,658,19.94,13,0.39,238,7.21,1999,60.58,31,0.94,8,1.33,53,8.83,1,0.13,-,-,5,0.63,-,-,-,-,12142,238.08
Yamagata,10934,254.28,1915,68.39,670,23.93,1226,43.79,5505,196.61,115,4.11,769,27.46,16,0.57,501,17.89,3876,138.43,50,1.79,-,-,42,5.25,4,0.4,4,0.4,4,0.4,-,-,1,0.1,9209,214.16
Fukushima,22107,269.6,3500,71.43,1204,24.57,2325,47.45,7129,145.49,174,3.55,2159,44.06,49,1,887,18.1,3270,66.73,117,2.39,7,0.54,204,15.69,3,0.43,2,0.29,13,1.86,-,-,1,0.14,22221,270.99
Ibaraki,30402,253.35,1831,24.41,2459,32.79,4829,64.39,12267,163.56,296,3.95,3708,49.44,93,1.24,582,7.76,2850,38,130,1.73,13,0.76,804,47.29,5,0.42,6,0.5,50,4.17,-,-,1,0.08,36385,303.21
