"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2023",,,,,,"Data collected as of March 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Kyoto,2361,18.89,7,0.09,15,0.2,65,0.86,331,4.36,2,0.03,3,0.04,1,0.01,11,0.14,2,0.03,-,-,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Osaka,4377,14.74,52,0.27,18,0.09,67,0.35,1109,5.72,6,0.03,8,0.04,2,0.01,32,0.16,4,0.02,5,0.03,1,0.02,2,0.04,-,-,2,0.13,-,-,-,-,1,0.06
Hyogo,2263,11.37,41,0.32,18,0.14,41,0.32,1045,8.1,8,0.06,16,0.12,1,0.01,11,0.09,6,0.05,-,-,-,-,9,0.26,-,-,2,0.14,-,-,-,-,-,-
Nara,745,13.55,9,0.26,6,0.18,6,0.18,235,6.91,1,0.03,1,0.03,-,-,5,0.15,2,0.06,1,0.03,-,-,3,0.3,-,-,-,-,-,-,-,-,-,-
Wakayama,501,10.22,10,0.33,1,0.03,9,0.3,129,4.3,2,0.07,-,-,-,-,4,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tottori,70,2.41,1,0.05,2,0.11,23,1.21,127,6.68,3,0.16,-,-,-,-,5,0.26,2,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.2
Shimane,260,6.84,2,0.09,4,0.17,3,0.13,207,9,2,0.09,3,0.13,-,-,7,0.3,1,0.04,-,-,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Okayama,787,9.37,18,0.33,9,0.17,3,0.06,260,4.81,2,0.04,7,0.13,-,-,5,0.09,2,0.04,3,0.06,-,-,2,0.17,-,-,-,-,-,-,-,-,3,0.6
Hiroshima,880,7.65,7,0.1,16,0.22,24,0.33,454,6.31,3,0.04,1,0.01,-,-,11,0.15,8,0.11,-,-,-,-,6,0.32,-,-,-,-,-,-,-,-,-,-
Yamaguchi,498,7.55,16,0.36,6,0.13,7,0.16,465,10.33,2,0.04,2,0.04,-,-,11,0.24,5,0.11,-,-,-,-,-,-,-,-,1,0.11,-,-,-,-,-,-
Tokushima,263,7.11,2,0.09,2,0.09,-,-,149,6.48,2,0.09,-,-,-,-,4,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,653,13.89,10,0.36,7,0.25,2,0.07,217,7.75,1,0.04,-,-,-,-,14,0.5,2,0.07,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,457,7.49,14,0.38,4,0.11,17,0.46,513,13.86,2,0.05,1,0.03,1,0.03,11,0.3,1,0.03,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
Kochi,349,7.76,4,0.15,-,-,5,0.19,158,5.85,-,-,6,0.22,1,0.04,5,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukuoka,3060,15.45,60,0.5,22,0.18,192,1.6,678,5.65,17,0.14,19,0.16,4,0.03,45,0.38,33,0.28,4,0.03,-,-,3,0.12,-,-,-,-,-,-,-,-,-,-
Saga,691,17.72,25,1.09,10,0.43,13,0.57,84,3.65,1,0.04,2,0.09,-,-,18,0.78,13,0.57,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-
Nagasaki,1045,14.93,23,0.52,9,0.2,89,2.02,152,3.45,2,0.05,2,0.05,-,-,10,0.23,3,0.07,1,0.02,1,0.13,3,0.38,-,-,-,-,-,-,-,-,-,-
Kumamoto,583,7.29,53,1.06,12,0.24,16,0.32,283,5.66,2,0.04,5,0.1,-,-,17,0.34,18,0.36,1,0.02,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
Oita,1009,17.4,1,0.03,5,0.14,8,0.22,447,12.42,1,0.03,1,0.03,4,0.11,10,0.28,7,0.19,2,0.06,-,-,2,0.4,-,-,-,-,-,-,-,-,-,-
Miyazaki,703,12.12,7,0.19,9,0.25,21,0.58,437,12.14,5,0.14,-,-,-,-,7,0.19,13,0.36,1,0.03,-,-,3,0.5,-,-,-,-,-,-,-,-,-,-
Kagoshima,387,4.21,58,1.07,31,0.57,14,0.26,461,8.54,6,0.11,4,0.07,1,0.02,13,0.24,10,0.19,4,0.07,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
Okinawa,702,12.76,4,0.13,6,0.19,24,0.75,50,1.56,1,0.03,75,2.34,-,-,7,0.22,1,0.03,3,0.09,1,0.11,1,0.11,-,-,-,-,-,-,-,-,-,-
