"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2025",,,,,,"Data collected as of April 2, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,9093,1.85,3177,1.02,721,0.23,5885,1.89,24790,7.95,926,0.3,148,0.05,2565,0.82,656,0.21,26,0.01,115,0.04,40,0.06,558,0.8,14,0.03,12,0.03,136,0.28,1,0,111,0.23,14354,2.92
Hokkaido,423,1.91,115,0.85,54,0.4,516,3.79,509,3.74,53,0.39,8,0.06,200,1.47,11,0.08,-,-,3,0.02,1,0.03,6,0.21,-,-,1,0.04,4,0.17,-,-,5,0.22,638,2.87
Aomori,97,1.67,30,0.81,11,0.3,48,1.3,230,6.22,26,0.7,4,0.11,63,1.7,11,0.3,-,-,3,0.08,-,-,3,0.3,-,-,2,0.33,13,2.17,-,-,-,-,159,2.74
Iwate,210,3.39,21,0.54,18,0.46,91,2.33,327,8.38,5,0.13,1,0.03,64,1.64,12,0.31,-,-,-,-,-,-,8,0.57,4,0.21,-,-,2,0.11,-,-,1,0.05,216,3.48
Miyagi,179,1.97,41,0.75,6,0.11,104,1.89,392,7.13,19,0.35,-,-,79,1.44,13,0.24,-,-,2,0.04,-,-,2,0.17,-,-,-,-,-,-,-,-,1,0.1,366,4.02
Akita,180,3.46,9,0.26,8,0.24,60,1.76,123,3.62,11,0.32,1,0.03,20,0.59,7,0.21,-,-,-,-,-,-,4,0.57,-,-,-,-,-,-,-,-,1,0.13,80,1.54
Yamagata,69,1.73,26,1.04,7,0.28,67,2.68,199,7.96,9,0.36,6,0.24,40,1.6,6,0.24,-,-,-,-,-,-,2,0.25,-,-,-,-,2,0.2,-,-,2,0.2,138,3.45
Fukushima,249,3.07,68,1.42,15,0.31,68,1.42,265,5.52,25,0.52,-,-,91,1.9,12,0.25,-,-,2,0.04,-,-,29,2.23,-,-,-,-,1,0.14,-,-,1,0.14,353,4.36
Ibaraki,157,1.31,31,0.41,22,0.29,339,4.52,544,7.25,18,0.24,3,0.04,63,0.84,14,0.19,-,-,8,0.11,-,-,58,3.41,-,-,-,-,1,0.08,-,-,2,0.15,582,4.85
Tochigi,235,3.09,41,0.85,7,0.15,109,2.27,304,6.33,12,0.25,9,0.19,112,2.33,11,0.23,-,-,1,0.02,-,-,11,0.92,-,-,-,-,1,0.14,-,-,-,-,324,4.26
Gunma,206,2.45,25,0.48,13,0.25,61,1.17,434,8.35,21,0.4,-,-,68,1.31,14,0.27,1,0.02,2,0.04,-,-,12,0.86,-,-,1,0.11,4,0.44,-,-,4,0.44,359,4.27
Saitama,476,1.83,119,0.73,31,0.19,399,2.45,1438,8.82,107,0.66,13,0.08,233,1.43,38,0.23,2,0.01,8,0.05,18,0.43,24,0.57,-,-,-,-,8,0.67,-,-,4,0.33,860,3.31
