"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2025",,,,,,"Data collected as of April 2, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Niigata,14002,162.81,508,9.24,269,4.89,2690,48.91,3131,56.93,396,7.2,79,1.44,609,11.07,134,2.44,5,0.09,36,0.65,20,2,60,6,2,0.15,1,0.08,118,9.08,-,-,3,0.23,6198,72.07
Toyama,5740,122.13,207,7.39,184,6.57,1612,57.57,3571,127.54,80,2.86,10,0.36,299,10.68,60,2.14,14,0.5,10,0.36,38,6.33,14,2.33,1,0.2,-,-,43,8.6,-,-,2,0.4,2779,59.13
Ishikawa,7383,153.81,269,9.28,103,3.55,936,32.28,3696,127.45,190,6.55,8,0.28,239,8.24,62,2.14,9,0.31,7,0.24,7,1,158,22.57,-,-,1,0.2,32,6.4,-,-,-,-,3047,63.48
Fukui,4923,126.23,545,21.8,138,5.52,565,22.6,2964,118.56,141,5.64,44,1.76,88,3.52,47,1.88,6,0.24,14,0.56,-,-,4,1.33,1,0.17,5,0.83,99,16.5,2,0.33,6,1,1832,46.97
Yamanashi,3881,94.66,129,5.38,49,2.04,155,6.46,2616,109,32,1.33,18,0.75,120,5,37,1.54,-,-,8,0.33,-,-,252,28,2,0.2,-,-,30,3,1,0.1,2,0.2,2811,68.56
Nagano,13577,157.87,533,10.25,121,2.33,1069,20.56,3791,72.9,138,2.65,94,1.81,614,11.81,101,1.94,16,0.31,11,0.21,-,-,362,40.22,3,0.25,3,0.25,85,7.08,-,-,4,0.33,8332,96.88
Gifu,12701,145.99,786,14.83,111,2.09,744,14.04,3154,59.51,46,0.87,15,0.28,78,1.47,128,2.42,2,0.04,14,0.26,1,0.09,6,0.55,2,0.4,7,1.4,65,13,-,-,12,2.4,7471,85.87
Shizuoka,20597,148.18,731,8.21,243,2.73,1089,12.24,7399,83.13,106,1.19,20,0.22,481,5.4,190,2.13,4,0.04,29,0.33,1,0.05,89,4.24,7,0.7,2,0.2,47,4.7,-,-,-,-,11187,80.48
Aichi,30162,155.47,1530,8.45,423,2.34,2291,12.66,12192,67.36,168,0.93,31,0.17,283,1.56,272,1.5,5,0.03,39,0.22,17,0.49,103,2.94,5,0.33,7,0.47,140,9.33,-,-,19,1.27,17453,89.96
Mie,7803,111.47,937,21.3,147,3.34,1142,25.95,3974,90.32,102,2.32,16,0.36,130,2.95,100,2.27,4,0.09,12,0.27,1,0.09,12,1.09,4,0.44,-,-,66,7.33,-,-,1,0.11,4714,67.34
