"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2024",,,,,,"Data collected as of February 14, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,5762,29.55,9,0.05,89,0.49,535,2.94,1010,5.55,10,0.05,4,0.02,1,0.01,20,0.11,1,0.01,5,0.03,-,-,9,0.26,-,-,-,-,1,0.07,-,-,-,-,3911,20.06
Mie,1618,22.47,4,0.09,59,1.31,237,5.27,345,7.67,8,0.18,8,0.18,-,-,9,0.2,-,-,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-,1155,16.04
Shiga,1168,19.47,2,0.06,32,0.89,65,1.81,166,4.61,5,0.14,2,0.06,1,0.03,3,0.08,1,0.03,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-,667,11.12
Kyoto,3775,30.44,18,0.24,83,1.11,221,2.95,440,5.87,9,0.12,18,0.24,-,-,12,0.16,3,0.04,-,-,-,-,1,0.06,-,-,-,-,1,0.14,-,-,-,-,1310,10.56
Osaka,9076,29.56,68,0.34,102,0.52,848,4.28,1442,7.28,28,0.14,83,0.42,4,0.02,28,0.14,9,0.05,3,0.02,-,-,15,0.29,2,0.11,-,-,5,0.28,-,-,-,-,2400,7.82
Hyogo,5280,26.67,11,0.09,117,0.91,468,3.66,1174,9.17,19,0.15,25,0.2,2,0.02,13,0.1,1,0.01,2,0.02,-,-,15,0.43,-,-,-,-,2,0.14,-,-,-,-,1810,9.14
Nara,1792,32.58,8,0.24,35,1.03,102,3,287,8.44,4,0.12,6,0.18,-,-,7,0.21,1,0.03,-,-,-,-,1,0.1,-,-,-,-,-,-,-,-,-,-,784,14.25
Wakayama,923,18.84,12,0.4,21,0.7,81,2.7,196,6.53,-,-,6,0.2,-,-,2,0.07,-,-,1,0.03,-,-,-,-,-,-,1,0.09,1,0.09,-,-,-,-,626,12.78
Tottori,343,11.83,2,0.11,27,1.42,199,10.47,136,7.16,2,0.11,2,0.11,-,-,3,0.16,1,0.05,-,-,-,-,3,0.6,-,-,2,0.4,-,-,-,-,-,-,416,14.34
Shimane,304,8,4,0.17,20,0.87,45,1.96,214,9.3,1,0.04,4,0.17,-,-,4,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382,10.05
Okayama,1565,18.63,1,0.02,55,1.02,156,2.89,406,7.52,6,0.11,21,0.39,-,-,8,0.15,-,-,1,0.02,-,-,5,0.42,-,-,-,-,-,-,-,-,-,-,1000,11.9
Hiroshima,2251,20.28,10,0.15,102,1.5,219,3.22,720,10.59,10,0.15,17,0.25,1,0.01,10,0.15,1,0.01,1,0.01,-,-,23,1.21,-,-,-,-,1,0.05,-,-,1,0.05,1751,15.77
Yamaguchi,1557,23.24,3,0.07,30,0.7,274,6.37,273,6.35,1,0.02,2,0.05,-,-,12,0.28,-,-,-,-,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-,858,12.81
Tokushima,496,13.41,1,0.04,18,0.78,60,2.61,137,5.96,1,0.04,7,0.3,-,-,4,0.17,-,-,-,-,-,-,3,0.75,-,-,-,-,-,-,-,-,-,-,539,14.57
Kagawa,498,10.6,1,0.04,25,0.89,102,3.64,375,13.39,2,0.07,27,0.96,-,-,5,0.18,1,0.04,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,633,13.47
Ehime,901,14.77,1,0.03,26,0.7,230,6.22,419,11.32,5,0.14,11,0.3,-,-,12,0.32,4,0.11,1,0.03,-,-,16,2,-,-,-,-,-,-,-,-,-,-,1106,18.13
Kochi,816,18.55,1,0.04,14,0.54,145,5.58,169,6.5,1,0.04,2,0.08,-,-,7,0.27,-,-,-,-,-,-,1,0.33,1,0.13,-,-,4,0.5,-,-,1,0.13,464,10.55
Fukuoka,11184,56.48,12,0.1,98,0.82,988,8.23,589,4.91,24,0.2,36,0.3,-,-,34,0.28,2,0.02,1,0.01,-,-,6,0.23,1,0.07,-,-,-,-,-,-,-,-,2308,11.66
Saga,1488,38.15,2,0.09,43,1.87,157,6.83,90,3.91,-,-,4,0.17,1,0.04,7,0.3,-,-,1,0.04,-,-,1,0.25,-,-,-,-,3,0.5,-,-,-,-,570,14.62
Nagasaki,1961,28.01,1,0.02,87,1.98,215,4.89,173,3.93,7,0.16,18,0.41,-,-,8,0.18,3,0.07,-,-,1,0.13,4,0.5,-,-,-,-,-,-,-,-,1,0.08,857,12.24
Kumamoto,2786,34.83,5,0.1,65,1.3,211,4.22,421,8.42,3,0.06,29,0.58,4,0.08,19,0.38,1,0.02,5,0.1,-,-,10,1.25,1,0.07,-,-,-,-,-,-,-,-,1118,13.98
Oita,1992,34.34,3,0.08,56,1.56,119,3.31,531,14.75,2,0.06,14,0.39,1,0.03,15,0.42,3,0.08,-,-,-,-,1,0.2,-,-,-,-,2,0.18,-,-,-,-,956,16.48
Miyazaki,1961,33.81,1,0.03,95,2.64,201,5.58,411,11.42,1,0.03,25,0.69,-,-,10,0.28,-,-,2,0.06,-,-,8,1.33,-,-,-,-,-,-,-,-,-,-,786,13.55
Kagoshima,2023,22.73,8,0.16,216,4.24,242,4.75,495,9.71,3,0.06,45,0.88,1,0.02,15,0.29,6,0.12,1,0.02,-,-,11,1.57,-,-,-,-,-,-,-,-,-,-,967,10.87
Okinawa,1604,29.7,4,0.13,22,0.71,234,7.55,63,2.03,7,0.23,3,0.1,1,0.03,2,0.06,2,0.06,1,0.03,-,-,8,1,-,-,-,-,3,0.43,-,-,-,-,345,6.39
