"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2026",,,,,,"Data collected as of April 30, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1018158,271.15,22213,9.77,9735,4.28,98385,43.27,246940,108.59,13072,5.75,3052,1.34,5869,2.58,8405,3.7,795,0.35,1016,0.45,107,0.16,4529,6.64,145,0.3,246,0.51,2323,4.84,86,0.18,464,0.97,90236,24.03
Hokkaido,37179,225.33,1539,15.55,405,4.09,9655,97.53,7258,73.31,1007,10.17,58,0.59,318,3.21,213,2.15,18,0.18,22,0.22,-,-,48,1.71,1,0.04,4,0.17,134,5.83,7,0.3,13,0.57,9885,59.91
Aomori,12095,237.16,225,6.82,136,4.12,1106,33.52,1808,54.79,163,4.94,15,0.45,21,0.64,108,3.27,5,0.15,7,0.21,1,0.11,7,0.78,3,0.5,1,0.17,80,13.33,-,-,1,0.17,2422,47.49
Iwate,11729,279.26,377,13.96,94,3.48,1705,63.15,3095,114.63,182,6.74,8,0.3,279,10.33,139,5.15,1,0.04,4,0.15,-,-,53,3.79,2,0.11,9,0.47,64,3.37,2,0.11,26,1.37,3279,78.07
Miyagi,17069,310.35,255,8.23,88,2.84,1215,39.19,2722,87.81,145,4.68,3,0.1,66,2.13,92,2.97,2,0.06,13,0.42,2,0.17,84,7,-,-,-,-,48,4.8,-,-,3,0.3,2772,50.4
Akita,4693,195.54,90,7.5,40,3.33,459,38.25,1293,107.75,136,11.33,5,0.42,33,2.75,38,3.17,3,0.25,11,0.92,4,0.67,41,6.83,-,-,-,-,61,7.63,-,-,-,-,1242,51.75
Yamagata,9506,250.16,561,22.44,157,6.28,2105,84.2,2840,113.6,263,10.52,13,0.52,81,3.24,143,5.72,3,0.12,4,0.16,-,-,81,11.57,3,0.3,2,0.2,40,4,-,-,1,0.1,1738,45.74
Fukushima,14308,298.08,394,14.07,97,3.46,856,30.57,2589,92.46,264,9.43,3,0.11,28,1,138,4.93,7,0.25,14,0.5,1,0.08,131,10.08,3,0.43,4,0.57,30,4.29,3,0.43,4,0.57,2423,50.48
Ibaraki,19544,296.12,211,5.86,123,3.42,2640,73.33,4609,128.03,176,4.89,21,0.58,30,0.83,118,3.28,13,0.36,15,0.42,-,-,295,18.44,1,0.08,7,0.54,93,7.15,-,-,10,0.77,2625,39.77
Tochigi,13743,305.4,282,10.85,54,2.08,1267,48.73,2593,99.73,101,3.88,4,0.15,47,1.81,131,5.04,7,0.27,8,0.31,-,-,120,10.91,1,0.14,4,0.57,56,8,2,0.29,16,2.29,2360,52.44
