Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,,,,,,,0
Amoebic dysentery,1,0,1,2,3,2,,,,,,,9
Anthrax,0,0,0,0,0,0,,,,,,,0
Bacillary dysentery,2,1,0,2,1,2,,,,,,,8
Botulism,0,0,1,0,1,0,,,,,,,2
Chickenpox,166,148,156,108,137,147,,,,,,,862
Chikungunya fever,2,0,0,0,0,0,,,,,,,2
Cholera,0,0,0,0,0,0,,,,,,,0
Community-associated methicillin-resistant Staphylococcus aureus infection,40,20,33,30,28,30,,,,,,,181
Coronavirus disease 2019 (COVID-19),5,4,1,4,7,60,,,,,,,81
Creutzfeldt-Jakob disease,1,1,4,2,1,4,,,,,,,13
Dengue fever,5,4,1,7,4,3,,,,,,,24
Diphtheria,0,0,0,0,0,0,,,,,,,0
Enterovirus 71 infection,0,0,0,0,0,0,,,,,,,0
Food poisoning - Outbreaks,19,40,7,9,10,10,,,,,,,95
Food poisoning - Persons affected,101,108,19,34,18,28,,,,,,,308
Haemophilus influenzae type b infection (invasive),0,0,0,0,0,0,,,,,,,0
Hantavirus infection,0,0,0,0,0,0,,,,,,,0
Invasive pneumococcal disease,16,13,10,12,6,7,,,,,,,64
Japanese encephalitis,0,0,0,0,0,0,,,,,,,0
Legionnaires' disease,7,4,10,19,28,19,,,,,,,87
Leprosy,0,0,1,0,0,0,,,,,,,1
Leptospirosis,0,0,0,0,0,0,,,,,,,0
Listeriosis,0,1,2,1,0,3,,,,,,,7
Malaria,0,0,1,0,1,2,,,,,,,4
Measles,0,0,1,6,0,1,,,,,,,8
Melioidosis,2,0,3,1,0,1,,,,,,,7
Meningococcal infection (invasive),0,2,2,1,0,0,,,,,,,5
Middle East Respiratory Syndrome,0,0,0,0,0,0,,,,,,,0
Mpox (Monkeypox),0,0,0,0,3,5,,,,,,,8
Mumps,2,3,5,2,3,4,,,,,,,19
Novel influenza A infection - Influenza A (H5),0,0,0,0,0,0,,,,,,,0
Novel influenza A infection - Influenza A (H7),0,0,0,0,0,0,,,,,,,0
Novel influenza A infection - Others,0,0,0,0,0,1,,,,,,,1
Paratyphoid fever,0,0,1,1,2,1,,,,,,,5
Plague,0,0,0,0,0,0,,,,,,,0
Psittacosis,2,2,1,0,1,2,,,,,,,8
Q fever,0,0,0,0,0,0,,,,,,,0
Rabies,0,0,0,0,0,0,,,,,,,0
Relapsing fever,0,0,0,0,0,0,,,,,,,0
Rubella and congenital rubella syndrome - Rubella,0,0,0,0,0,0,,,,,,,0
Rubella and congenital rubella syndrome - Congenital rubella syndrome,0,0,0,0,0,0,,,,,,,0
Scarlet fever,83,55,80,63,77,81,,,,,,,439
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,,,,,,,0
Shiga toxin-producing Escherichia coli infection,0,1,0,0,0,2,,,,,,,3
Smallpox,0,0,0,0,0,0,,,,,,,0
Streptococcus suis infection,0,1,0,0,0,1,,,,,,,2
Tetanus,0,0,0,0,0,0,,,,,,,0
Tuberculosis,242,180,224,222,251,262,,,,,,,1381
Typhoid fever,1,1,3,0,1,0,,,,,,,6
Typhus and other rickettsial diseases - Scrub typhus,0,0,0,0,2,3,,,,,,,5
Typhus and other rickettsial diseases - Urban typhus,0,0,0,0,0,0,,,,,,,0
Typhus and other rickettsial diseases - Spotted fever,1,0,1,1,1,3,,,,,,,7
Typhus and other rickettsial diseases - Unclassified,1,0,0,0,0,0,,,,,,,1
Viral haemorrhagic fever,0,0,0,0,0,0,,,,,,,0
Viral hepatitis - A,15,7,8,4,5,5,,,,,,,44
Viral hepatitis - B,3,0,0,0,1,0,,,,,,,4
Viral hepatitis - C,5,3,3,2,7,5,,,,,,,25
Viral hepatitis - D,0,0,0,0,0,0,,,,,,,0
Viral hepatitis - E,13,13,14,12,15,21,,,,,,,88
West Nile Virus Infection,0,0,0,0,0,0,,,,,,,0
Whooping cough,1,0,1,0,1,0,,,,,,,3
Yellow fever,0,0,0,0,0,0,,,,,,,0
Zika Virus Infection,0,0,0,0,0,0,,,,,,,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),635,504,575,511,597,687,0,0,0,0,0,0,3509
