"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2023",,,,,,"Data collected as of February 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,158814,32.14,3033,0.96,1487,0.47,4075,1.29,76769,24.39,1003,0.32,1261,0.4,84,0.03,2741,0.87,581,0.18,291,0.09,30,0.04,596,0.86,25,0.05,21,0.04,37,0.08,3,0.01,10,0.02
Hokkaido,6915,30.46,234,1.71,133,0.97,259,1.89,1235,9.01,78,0.57,13,0.09,1,0.01,61,0.45,12,0.09,7,0.05,1,0.03,8,0.28,-,-,-,-,5,0.22,-,-,1,0.04
Aomori,1771,27.67,38,0.9,12,0.29,22,0.52,766,18.24,2,0.05,2,0.05,1,0.02,30,0.71,1,0.02,4,0.1,-,-,2,0.2,1,0.17,-,-,5,0.83,-,-,-,-
Iwate,422,6.7,64,1.6,11,0.28,85,2.13,876,21.9,6,0.15,5,0.13,-,-,43,1.08,2,0.05,1,0.03,-,-,10,0.77,-,-,1,0.05,2,0.11,-,-,2,0.11
Miyagi,901,9.48,114,1.97,35,0.6,53,0.91,1245,21.47,22,0.38,4,0.07,5,0.09,62,1.07,-,-,3,0.05,-,-,8,0.67,1,0.08,-,-,2,0.17,-,-,-,-
Akita,539,10.57,18,0.55,13,0.39,41,1.24,343,10.39,7,0.21,1,0.03,2,0.06,27,0.82,27,0.82,3,0.09,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
Yamagata,356,8.09,57,1.97,13,0.45,41,1.41,809,27.9,9,0.31,1,0.03,-,-,35,1.21,1,0.03,5,0.17,-,-,3,0.38,3,0.3,-,-,-,-,-,-,-,-
Fukushima,1210,14.58,309,6.18,40,0.8,48,0.96,950,19,8,0.16,2,0.04,3,0.06,66,1.32,1,0.02,2,0.04,-,-,8,0.62,-,-,-,-,-,-,-,-,-,-
Ibaraki,2360,19.67,29,0.39,17,0.23,111,1.5,1532,20.7,15,0.2,1,0.01,-,-,41,0.55,2,0.03,10,0.14,-,-,52,3.06,-,-,-,-,3,0.25,-,-,-,-
