"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18th week, 2023",,,,,,"Data collected as of May 11, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Saitama,373,1.45,92,0.56,70,0.43,93,0.57,663,4.07,18,0.11,27,0.17,1,0.01,48,0.29,8,0.05,3,0.02,5,0.12,5,0.12,-,-,-,-,-,-,-,-,-,-
Chiba,219,1.11,32,0.26,39,0.31,51,0.41,392,3.14,6,0.05,21,0.17,1,0.01,36,0.29,12,0.1,6,0.05,-,-,9,0.26,-,-,-,-,-,-,-,-,-,-
Tokyo,455,1.11,98,0.38,66,0.26,171,0.66,1027,3.98,24,0.09,33,0.13,7,0.03,78,0.3,43,0.17,11,0.04,1,0.03,5,0.13,1,0.04,-,-,-,-,-,-,-,-
Kanagawa,284,0.8,26,0.12,50,0.22,80,0.36,609,2.72,11,0.05,12,0.05,1,0,52,0.23,32,0.14,7,0.03,-,-,29,0.58,-,-,5,0.42,1,0.08,-,-,-,-
Niigata,778,9.26,50,0.93,19,0.35,34,0.63,125,2.31,1,0.02,1,0.02,-,-,11,0.2,1,0.02,2,0.04,-,-,3,0.3,-,-,-,-,1,0.08,-,-,-,-
Toyama,27,0.56,32,1.1,16,0.55,43,1.48,214,7.38,-,-,2,0.07,-,-,5,0.17,5,0.17,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,29,0.6,26,0.9,9,0.31,11,0.38,216,7.45,1,0.03,6,0.21,-,-,8,0.28,18,0.62,1,0.03,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
Fukui,10,0.26,73,2.92,12,0.48,21,0.84,85,3.4,-,-,20,0.8,1,0.04,6,0.24,17,0.68,3,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,66,1.61,-,-,-,-,2,0.08,54,2.25,-,-,-,-,-,-,10,0.42,1,0.04,-,-,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
Nagano,145,1.67,13,0.25,13,0.25,7,0.13,199,3.75,3,0.06,-,-,-,-,9,0.17,2,0.04,-,-,-,-,13,1.44,-,-,-,-,-,-,-,-,-,-
Gifu,115,1.32,56,1.06,10,0.19,24,0.45,239,4.51,2,0.04,2,0.04,-,-,14,0.26,-,-,-,-,-,-,-,-,-,-,1,0.2,-,-,-,-,-,-
Shizuoka,217,1.56,62,0.7,24,0.27,36,0.41,246,2.8,5,0.06,13,0.15,-,-,25,0.28,13,0.15,6,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aichi,360,1.85,84,0.46,48,0.26,73,0.4,669,3.68,11,0.06,13,0.07,3,0.02,27,0.15,13,0.07,4,0.02,-,-,-,-,-,-,-,-,-,-,-,-,1,0.07
Mie,417,5.79,39,0.87,13,0.29,18,0.4,185,4.11,6,0.13,3,0.07,2,0.04,11,0.24,-,-,1,0.02,-,-,-,-,-,-,1,0.11,-,-,-,-,-,-
