"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18th week, 2023",,,,,,"Data collected as of May 11, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,658599,133.48,27508,8.75,9774,3.11,28094,8.94,313598,99.74,4303,1.37,5848,1.86,521,0.17,13242,4.21,5805,1.85,1639,0.52,118,0.17,2701,3.9,128,0.27,167,0.35,183,0.38,8,0.02,77,0.16
Hokkaido,32247,142.06,3642,26.39,610,4.42,2068,14.99,6243,45.24,267,1.93,44,0.32,8,0.06,284,2.06,61,0.44,40,0.29,1,0.03,54,1.86,-,-,-,-,16,0.7,-,-,4,0.17
Aomori,11510,182.7,252,6.15,79,1.93,119,2.9,3703,90.32,38,0.93,13,0.32,6,0.15,153,3.73,5,0.12,23,0.56,-,-,6,0.67,3,0.5,3,0.5,35,5.83,-,-,-,-
Iwate,12954,208.94,473,12.13,53,1.36,687,17.62,3768,96.62,31,0.79,17,0.44,1,0.03,230,5.9,3,0.08,13,0.33,-,-,33,2.54,5,0.26,3,0.16,5,0.26,-,-,9,0.47
Miyagi,7106,75.6,454,7.96,160,2.81,337,5.91,6597,115.74,66,1.16,12,0.21,18,0.32,278,4.88,7,0.12,24,0.42,-,-,51,4.25,2,0.18,1,0.09,12,1.09,-,-,-,-
Akita,6348,124.47,60,1.82,46,1.39,230,6.97,1962,59.45,41,1.24,7,0.21,8,0.24,92,2.79,35,1.06,8,0.24,-,-,13,2.17,-,-,-,-,2,0.25,-,-,-,-
Yamagata,6458,150.19,170,6.07,84,3,203,7.25,3105,110.89,39,1.39,14,0.5,3,0.11,172,6.14,1,0.04,17,0.61,-,-,12,1.5,3,0.3,-,-,1,0.1,-,-,1,0.1
Fukushima,5879,70.83,1002,20.04,178,3.56,413,8.26,4286,85.72,38,0.76,13,0.26,13,0.26,336,6.72,4,0.08,27,0.54,-,-,69,5.31,2,0.29,1,0.14,5,0.71,-,-,-,-
Ibaraki,10087,84.06,143,1.91,164,2.19,628,8.37,5366,71.55,91,1.21,100,1.33,8,0.11,174,2.32,36,0.48,32,0.43,2,0.12,177,10.41,-,-,1,0.08,11,0.92,-,-,1,0.08
