,Disease,DiseaseCode,Year,Month,ISOWeek,Date,PeriodType,PeriodValue,Cases,Geography,Group,DataComplete,Trend,SourceDate,Version,Source,SourceURL
110,Tick-borne encephalitis (TBE),tick-borne_encephalitis,2025,12,,2025-12-01,month,202512,2,CHFL,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tick-borne_encephalitis/cases/value/month
111,Tuberculosis,tuberculosis,2025,12,,2025-12-01,month,202512,43,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tuberculosis/cases/value/month
112,Tularaemia,tularemia,2025,12,,2025-12-01,month,202512,6,CHFL,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tularemia/cases/value/month
113,Campylobacteriosis,campylobacteriosis,2026,1,,2026-01-01,month,202601,741,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/campylobacteriosis/cases/value/month
114,Chikungunya,chikungunya,2026,1,,2026-01-01,month,202601,9,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chikungunya/cases/value/month
115,Chlamydia,chlamydiosis,2026,1,,2026-01-01,month,202601,1132,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chlamydiosis/cases/value/month
116,Dengue fever,dengueFever,2026,1,,2026-01-01,month,202601,13,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/dengueFever/cases/value/month
117,EHEC,ehec,2026,1,,2026-01-01,month,202601,97,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ehec/cases/value/month
118,Gonorrhoea,gonorrhea,2026,1,,2026-01-01,month,202601,655,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/gonorrhea/cases/value/month
119,Haemophilus influenzae disease,haemophilusInfluenzae,2026,1,,2026-01-01,month,202601,23,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/haemophilusInfluenzae/cases/value/month
120,Hepatitis A,hepatitis_a,2026,1,,2026-01-01,month,202601,4,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_a/cases/value/month
121,Hepatitis B,hepatitis_b,2026,1,,2026-01-01,month,202601,121,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_b/cases/value/month
122,Hepatitis C,hepatitis_c,2026,1,,2026-01-01,month,202601,60,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_c/cases/value/month
123,Hepatitis E,hepatitis_e,2026,1,,2026-01-01,month,202601,9,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_e/cases/value/month
124,Human Immunodeficiency Virus (HIV),hiv,2026,1,,2026-01-01,month,202601,32,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hiv/cases/value/month
125,Influenza (Seasonal flu),influenza,2026,1,,2026-01-01,month,202601,10021,CHFL,,TRUE,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/influenza/cases/value/month
126,Invasive pneumococcal disease,ipd,2026,1,,2026-01-01,month,202601,135,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ipd/cases/value/month
127,Legionellosis,legionellosis,2026,1,,2026-01-01,month,202601,37,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/legionellosis/cases/value/month
128,Listeriosis,listeriosis,2026,1,,2026-01-01,month,202601,5,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/listeriosis/cases/value/month
129,Lyme disease,lyme_borreliosis,2026,1,,2026-01-01,month,202601,84,CH,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/lyme_borreliosis/cases/value/month
130,Malaria,malaria,2026,1,,2026-01-01,month,202601,34,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/malaria/cases/value/month
131,Measles,measles,2026,1,,2026-01-01,month,202601,2,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/measles/cases/value/month
132,Q fever,qFever,2026,1,,2026-01-01,month,202601,10,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/qFever/cases/value/month
133,SARS-CoV-2 (Covid-19),covid19,2026,1,,2026-01-01,month,202601,1389,CHFL,,TRUE,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/covid19/cases/value/month
134,Salmonellosis,salmonellosis,2026,1,,2026-01-01,month,202601,121,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/salmonellosis/cases/value/month
135,Shigellosis,shigellosis,2026,1,,2026-01-01,month,202601,19,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/shigellosis/cases/value/month
136,Syphilis,syphilis,2026,1,,2026-01-01,month,202601,101,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/syphilis/cases/value/month
137,Tick-borne encephalitis (TBE),tick-borne_encephalitis,2026,1,,2026-01-01,month,202601,4,CHFL,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tick-borne_encephalitis/cases/value/month
138,Tuberculosis,tuberculosis,2026,1,,2026-01-01,month,202601,47,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tuberculosis/cases/value/month
139,Tularaemia,tularemia,2026,1,,2026-01-01,month,202601,5,CHFL,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tularemia/cases/value/month
140,Campylobacteriosis,campylobacteriosis,2026,2,,2026-02-01,month,202602,439,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/campylobacteriosis/cases/value/month
141,Chikungunya,chikungunya,2026,2,,2026-02-01,month,202602,9,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chikungunya/cases/value/month
142,Chlamydia,chlamydiosis,2026,2,,2026-02-01,month,202602,1059,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chlamydiosis/cases/value/month
143,Dengue fever,dengueFever,2026,2,,2026-02-01,month,202602,10,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/dengueFever/cases/value/month
144,EHEC,ehec,2026,2,,2026-02-01,month,202602,84,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ehec/cases/value/month
145,Gonorrhoea,gonorrhea,2026,2,,2026-02-01,month,202602,519,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/gonorrhea/cases/value/month
146,Haemophilus influenzae disease,haemophilusInfluenzae,2026,2,,2026-02-01,month,202602,13,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/haemophilusInfluenzae/cases/value/month
147,Hepatitis A,hepatitis_a,2026,2,,2026-02-01,month,202602,7,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_a/cases/value/month
148,Hepatitis B,hepatitis_b,2026,2,,2026-02-01,month,202602,143,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_b/cases/value/month
149,Hepatitis C,hepatitis_c,2026,2,,2026-02-01,month,202602,78,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_c/cases/value/month
150,Hepatitis E,hepatitis_e,2026,2,,2026-02-01,month,202602,13,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_e/cases/value/month
151,Human Immunodeficiency Virus (HIV),hiv,2026,2,,2026-02-01,month,202602,31,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hiv/cases/value/month
152,Influenza (Seasonal flu),influenza,2026,2,,2026-02-01,month,202602,2763,CHFL,,TRUE,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/influenza/cases/value/month
153,Invasive pneumococcal disease,ipd,2026,2,,2026-02-01,month,202602,126,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ipd/cases/value/month
154,Legionellosis,legionellosis,2026,2,,2026-02-01,month,202602,23,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/legionellosis/cases/value/month
155,Listeriosis,listeriosis,2026,2,,2026-02-01,month,202602,1,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/listeriosis/cases/value/month
156,Lyme disease,lyme_borreliosis,2026,2,,2026-02-01,month,202602,126,CH,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/lyme_borreliosis/cases/value/month
157,Malaria,malaria,2026,2,,2026-02-01,month,202602,24,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/malaria/cases/value/month
158,Measles,measles,2026,2,,2026-02-01,month,202602,0,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/measles/cases/value/month
159,Q fever,qFever,2026,2,,2026-02-01,month,202602,8,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/qFever/cases/value/month
160,SARS-CoV-2 (Covid-19),covid19,2026,2,,2026-02-01,month,202602,577,CHFL,,TRUE,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/covid19/cases/value/month
161,Salmonellosis,salmonellosis,2026,2,,2026-02-01,month,202602,89,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/salmonellosis/cases/value/month
162,Shigellosis,shigellosis,2026,2,,2026-02-01,month,202602,15,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/shigellosis/cases/value/month
163,Syphilis,syphilis,2026,2,,2026-02-01,month,202602,101,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/syphilis/cases/value/month
164,Tick-borne encephalitis (TBE),tick-borne_encephalitis,2026,2,,2026-02-01,month,202602,3,CHFL,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tick-borne_encephalitis/cases/value/month
165,Tuberculosis,tuberculosis,2026,2,,2026-02-01,month,202602,45,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tuberculosis/cases/value/month
166,Tularaemia,tularemia,2026,2,,2026-02-01,month,202602,5,CHFL,,TRUE,stagnant,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tularemia/cases/value/month
167,Campylobacteriosis,campylobacteriosis,2026,3,,2026-03-01,month,202603,509,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/campylobacteriosis/cases/value/month
168,Chikungunya,chikungunya,2026,3,,2026-03-01,month,202603,10,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chikungunya/cases/value/month
169,Dengue fever,dengueFever,2026,3,,2026-03-01,month,202603,12,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/dengueFever/cases/value/month
170,EHEC,ehec,2026,3,,2026-03-01,month,202603,103,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ehec/cases/value/month
171,Haemophilus influenzae disease,haemophilusInfluenzae,2026,3,,2026-03-01,month,202603,19,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/haemophilusInfluenzae/cases/value/month
172,Hepatitis A,hepatitis_a,2026,3,,2026-03-01,month,202603,8,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_a/cases/value/month
173,Hepatitis E,hepatitis_e,2026,3,,2026-03-01,month,202603,15,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_e/cases/value/month
174,Influenza (Seasonal flu),influenza,2026,3,,2026-03-01,month,202603,393,CHFL,,TRUE,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/influenza/cases/value/month
175,Invasive pneumococcal disease,ipd,2026,3,,2026-03-01,month,202603,106,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ipd/cases/value/month
176,Legionellosis,legionellosis,2026,3,,2026-03-01,month,202603,29,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/legionellosis/cases/value/month
177,Listeriosis,listeriosis,2026,3,,2026-03-01,month,202603,4,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/listeriosis/cases/value/month
178,Lyme disease,lyme_borreliosis,2026,3,,2026-03-01,month,202603,253,CH,,TRUE,stagnant,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/lyme_borreliosis/cases/value/month
179,Malaria,malaria,2026,3,,2026-03-01,month,202603,21,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/malaria/cases/value/month
180,Measles,measles,2026,3,,2026-03-01,month,202603,2,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/measles/cases/value/month
181,Q fever,qFever,2026,3,,2026-03-01,month,202603,3,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/qFever/cases/value/month
182,SARS-CoV-2 (Covid-19),covid19,2026,3,,2026-03-01,month,202603,236,CHFL,,TRUE,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/covid19/cases/value/month
183,Salmonellosis,salmonellosis,2026,3,,2026-03-01,month,202603,120,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/salmonellosis/cases/value/month
184,Shigellosis,shigellosis,2026,3,,2026-03-01,month,202603,19,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/shigellosis/cases/value/month
185,Tick-borne encephalitis (TBE),tick-borne_encephalitis,2026,3,,2026-03-01,month,202603,10,CHFL,,TRUE,rising,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tick-borne_encephalitis/cases/value/month
186,Tuberculosis,tuberculosis,2026,3,,2026-03-01,month,202603,42,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tuberculosis/cases/value/month
187,Tularaemia,tularemia,2026,3,,2026-03-01,month,202603,6,CHFL,,TRUE,stagnant,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tularemia/cases/value/month
188,Campylobacteriosis,campylobacteriosis,2026,4,,2026-04-01,month,202604,562,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/campylobacteriosis/cases/value/month
189,EHEC,ehec,2026,4,,2026-04-01,month,202604,109,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ehec/cases/value/month
190,Haemophilus influenzae disease,haemophilusInfluenzae,2026,4,,2026-04-01,month,202604,14,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/haemophilusInfluenzae/cases/value/month
191,Hepatitis A,hepatitis_a,2026,4,,2026-04-01,month,202604,2,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_a/cases/value/month
192,Hepatitis E,hepatitis_e,2026,4,,2026-04-01,month,202604,9,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_e/cases/value/month
193,Influenza (Seasonal flu),influenza,2026,4,,2026-04-01,month,202604,98,CHFL,,TRUE,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/influenza/cases/value/month
194,Invasive pneumococcal disease,ipd,2026,4,,2026-04-01,month,202604,103,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ipd/cases/value/month
195,Listeriosis,listeriosis,2026,4,,2026-04-01,month,202604,3,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/listeriosis/cases/value/month
196,Lyme disease,lyme_borreliosis,2026,4,,2026-04-01,month,202604,380,CH,,TRUE,rising,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/lyme_borreliosis/cases/value/month
197,Malaria,malaria,2026,4,,2026-04-01,month,202604,16,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/malaria/cases/value/month
198,Measles,measles,2026,4,,2026-04-01,month,202604,7,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/measles/cases/value/month
199,Q fever,qFever,2026,4,,2026-04-01,month,202604,7,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/qFever/cases/value/month
200,SARS-CoV-2 (Covid-19),covid19,2026,4,,2026-04-01,month,202604,97,CHFL,,TRUE,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/covid19/cases/value/month
201,Salmonellosis,salmonellosis,2026,4,,2026-04-01,month,202604,141,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/salmonellosis/cases/value/month
202,Shigellosis,shigellosis,2026,4,,2026-04-01,month,202604,17,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/shigellosis/cases/value/month
203,Tick-borne encephalitis (TBE),tick-borne_encephalitis,2026,4,,2026-04-01,month,202604,33,CHFL,,TRUE,rising,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tick-borne_encephalitis/cases/value/month
204,Tularaemia,tularemia,2026,4,,2026-04-01,month,202604,9,CHFL,,TRUE,stagnant,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tularemia/cases/value/month
205,Campylobacteriosis,campylobacteriosis,2026,5,,2026-05-01,month,202605,850,CHFL,,TRUE,rising,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/campylobacteriosis/cases/value/month
206,EHEC,ehec,2026,5,,2026-05-01,month,202605,128,CHFL,,TRUE,rising,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ehec/cases/value/month
207,Hepatitis A,hepatitis_a,2026,5,,2026-05-01,month,202605,5,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_a/cases/value/month
208,Hepatitis E,hepatitis_e,2026,5,,2026-05-01,month,202605,7,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_e/cases/value/month
209,Influenza (Seasonal flu),influenza,2026,5,,2026-05-01,month,202605,42,CHFL,,TRUE,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/influenza/cases/value/month
210,Lyme disease,lyme_borreliosis,2026,5,,2026-05-01,month,202605,845,CH,,TRUE,rising,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/lyme_borreliosis/cases/value/month
211,SARS-CoV-2 (Covid-19),covid19,2026,5,,2026-05-01,month,202605,56,CHFL,,TRUE,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/covid19/cases/value/month
212,Salmonellosis,salmonellosis,2026,5,,2026-05-01,month,202605,125,CHFL,,TRUE,rising,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/salmonellosis/cases/value/month
213,Shigellosis,shigellosis,2026,5,,2026-05-01,month,202605,17,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/shigellosis/cases/value/month
214,Tick-borne encephalitis (TBE),tick-borne_encephalitis,2026,5,,2026-05-01,month,202605,60,CHFL,,TRUE,rising,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tick-borne_encephalitis/cases/value/month
215,Tularaemia,tularemia,2026,5,,2026-05-01,month,202605,9,CHFL,,TRUE,stagnant,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tularemia/cases/value/month
