,Disease,DiseaseCode,Year,Month,ISOWeek,Date,PeriodType,PeriodValue,Cases,Geography,Group,DataComplete,Trend,SourceDate,Version,Source,SourceURL
15,Hepatitis A,hepatitis_a,2024,1,,2024-01-01,month,202401,4,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_a/cases/value/month
16,Hepatitis B,hepatitis_b,2024,1,,2024-01-01,month,202401,107,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_b/cases/value/month
17,Hepatitis C,hepatitis_c,2024,1,,2024-01-01,month,202401,101,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_c/cases/value/month
18,Hepatitis E,hepatitis_e,2024,1,,2024-01-01,month,202401,5,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_e/cases/value/month
19,Human Immunodeficiency Virus (HIV),hiv,2024,1,,2024-01-01,month,202401,30,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hiv/cases/value/month
20,Influenza (Seasonal flu),influenza,2024,1,,2024-01-01,month,202401,8087,CHFL,,TRUE,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/influenza/cases/value/month
21,Invasive pneumococcal disease,ipd,2024,1,,2024-01-01,month,202401,146,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ipd/cases/value/month
22,Legionellosis,legionellosis,2024,1,,2024-01-01,month,202401,18,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/legionellosis/cases/value/month
23,Listeriosis,listeriosis,2024,1,,2024-01-01,month,202401,6,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/listeriosis/cases/value/month
24,Lyme disease,lyme_borreliosis,2024,1,,2024-01-01,month,202401,98,CH,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/lyme_borreliosis/cases/value/month
25,Malaria,malaria,2024,1,,2024-01-01,month,202401,30,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/malaria/cases/value/month
26,Measles,measles,2024,1,,2024-01-01,month,202401,18,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/measles/cases/value/month
27,Meningococcal disease,meningo,2024,1,,2024-01-01,year,2024,36,CH,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/meningo/cases/value/year
28,Mpox,monkeypox,2024,1,,2024-01-01,year,2024,36,CH,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/monkeypox/cases/value/year
29,Q fever,qFever,2024,1,,2024-01-01,month,202401,10,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/qFever/cases/value/month
30,Rubella,rubella,2024,1,,2024-01-01,year,2024,0,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/rubella/cases/value/year
31,SARS-CoV-2 (Covid-19),covid19,2024,1,,2024-01-01,month,202401,4268,CHFL,,TRUE,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/covid19/cases/value/month
32,Salmonellosis,salmonellosis,2024,1,,2024-01-01,month,202401,87,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/salmonellosis/cases/value/month
33,Shigellosis,shigellosis,2024,1,,2024-01-01,month,202401,16,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/shigellosis/cases/value/month
34,Syphilis,syphilis,2024,1,,2024-01-01,month,202401,105,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/syphilis/cases/value/month
35,Tetanus,tetanus,2024,1,,2024-01-01,year,2024,0,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tetanus/cases/value/year
36,Tick-borne encephalitis (TBE),tick-borne_encephalitis,2024,1,,2024-01-01,month,202401,2,CHFL,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tick-borne_encephalitis/cases/value/month
37,Trichinellosis,trichinellosis,2024,1,,2024-01-01,year,2024,0,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/trichinellosis/cases/value/year
38,Tuberculosis,tuberculosis,2024,1,,2024-01-01,month,202401,28,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tuberculosis/cases/value/month
39,Tularaemia,tularemia,2024,1,,2024-01-01,month,202401,9,CHFL,,TRUE,stagnant,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tularemia/cases/value/month
40,Typhoid and paratyphoid fever,typhoidParatyphoidFever,2024,1,,2024-01-01,year,2024,41,CH,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/typhoidParatyphoidFever/cases/value/year
41,West Nile fever,westnileFever,2024,1,,2024-01-01,year,2024,1,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/westnileFever/cases/value/year
42,Yellow fever,yellowFever,2024,1,,2024-01-01,year,2024,0,CH,,,falling,2026-06-02,20260603,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/yellowFever/cases/value/year
43,Zika virus infection,zika,2024,1,,2024-01-01,year,2024,9,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/zika/cases/value/year
44,Botulism,botulism,2025,1,,2025-01-01,year,2025,0,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/botulism/cases/value/year
45,Brucellosis,brucellosis,2025,1,,2025-01-01,year,2025,7,CH,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/brucellosis/cases/value/year
46,Campylobacteriosis,campylobacteriosis,2025,1,,2025-01-01,month,202501,524,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/campylobacteriosis/cases/value/month
47,Chikungunya,chikungunya,2025,1,,2025-01-01,month,202501,1,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chikungunya/cases/value/month
48,Chlamydia,chlamydiosis,2025,1,,2025-01-01,month,202501,1149,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chlamydiosis/cases/value/month
49,Cholera,cholera,2025,1,,2025-01-01,year,2025,0,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/cholera/cases/value/year
50,Creutzfeldt-Jakob disease,cjd,2025,1,,2025-01-01,year,2025,27,CH,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/cjd/cases/value/year
51,Dengue fever,dengueFever,2025,1,,2025-01-01,month,202501,17,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/dengueFever/cases/value/month
52,Diphtheria,diphtheria,2025,1,,2025-01-01,year,2025,24,CH,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/diphtheria/cases/value/year
53,EHEC,ehec,2025,1,,2025-01-01,month,202501,95,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ehec/cases/value/month
54,Gonorrhoea,gonorrhea,2025,1,,2025-01-01,month,202501,585,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/gonorrhea/cases/value/month
55,Haemophilus influenzae disease,haemophilusInfluenzae,2025,1,,2025-01-01,month,202501,18,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/haemophilusInfluenzae/cases/value/month
56,Hantavirus infection,hanta,2025,1,,2025-01-01,year,2025,2,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hanta/cases/value/year
57,Hepatitis A,hepatitis_a,2025,1,,2025-01-01,month,202501,9,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_a/cases/value/month
58,Hepatitis B,hepatitis_b,2025,1,,2025-01-01,month,202501,121,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_b/cases/value/month
59,Hepatitis C,hepatitis_c,2025,1,,2025-01-01,month,202501,91,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_c/cases/value/month
60,Hepatitis E,hepatitis_e,2025,1,,2025-01-01,month,202501,13,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_e/cases/value/month
61,Human Immunodeficiency Virus (HIV),hiv,2025,1,,2025-01-01,month,202501,41,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hiv/cases/value/month
62,Influenza (Seasonal flu),influenza,2025,1,,2025-01-01,month,202501,11492,CHFL,,TRUE,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/influenza/cases/value/month
63,Invasive pneumococcal disease,ipd,2025,1,,2025-01-01,month,202501,154,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ipd/cases/value/month
64,Legionellosis,legionellosis,2025,1,,2025-01-01,month,202501,39,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/legionellosis/cases/value/month
65,Listeriosis,listeriosis,2025,1,,2025-01-01,month,202501,5,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/listeriosis/cases/value/month
66,Lyme disease,lyme_borreliosis,2025,1,,2025-01-01,month,202501,140,CH,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/lyme_borreliosis/cases/value/month
67,Malaria,malaria,2025,1,,2025-01-01,month,202501,28,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/malaria/cases/value/month
