Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic dysentery,0,1,0,2,1,2,0,0,2,0,1,0,9
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillary dysentery,1,1,1,0,1,0,0,1,1,1,3,5,15
Botulism,0,0,0,0,0,0,0,0,1,0,0,0,1
Chickenpox,82,104,146,124,149,121,119,126,134,148,178,158,1589
Chikungunya fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholera,0,0,0,0,0,0,0,0,0,0,0,0,0
Community-associated methicillin-resistant Staphylococcus aureus infection,54,38,33,69,52,53,49,54,53,45,45,37,582
Coronavirus disease 2019 (COVID-19),1606,553,459,305,67,82,61,128,110,129,90,213,3803
Creutzfeldt-Jakob disease,1,1,1,0,1,2,1,2,2,1,1,0,13
Dengue fever,0,0,1,0,0,0,0,0,0,0,1,0,2
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterovirus 71 infection,0,0,0,0,0,0,0,0,0,1,0,0,1
Food poisoning - Outbreaks,6,8,26,7,7,18,27,10,19,47,22,8,205
Food poisoning - Persons affected,18,29,72,16,26,52,70,24,60,149,71,35,622
Haemophilus influenzae type b infection (invasive),0,0,0,0,0,0,0,0,0,0,0,0,0
Hantavirus infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Invasive pneumococcal disease,1,2,0,2,0,2,2,1,1,1,8,5,25
Japanese encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Legionnaires' disease,1,2,3,3,5,5,11,13,2,12,7,5,69
Leprosy,0,0,0,0,0,0,0,0,2,0,0,1,3
Leptospirosis,0,2,0,1,0,0,0,0,1,0,0,0,4
Listeriosis,2,0,0,2,0,2,3,3,2,2,0,1,17
Malaria,1,0,0,0,0,0,1,0,2,0,0,0,4
Measles,0,0,0,0,0,0,0,0,1,0,0,0,1
Meningococcal infection (invasive),0,0,0,1,0,0,0,0,0,1,0,0,2
Middle East Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumps,0,3,10,4,4,4,7,5,6,2,6,5,56
Novel influenza A infection - Influenza A (H5),0,0,0,0,0,0,0,0,0,0,0,0,0
Novel influenza A infection - Influenza A (H7),0,0,0,0,0,0,0,0,0,0,0,0,0
Novel influenza A infection - Others,0,0,0,0,0,0,0,0,0,0,0,0,0
Paratyphoid fever,0,0,0,1,0,0,0,1,0,1,0,0,3
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Psittacosis,1,0,2,0,2,2,1,2,0,0,0,2,12
Q fever,0,0,1,0,1,0,0,0,0,0,0,0,2
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella and congenital rubella syndrome - Rubella,0,0,0,0,0,1,0,0,0,0,1,0,2
Rubella and congenital rubella syndrome - Congenital rubella syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet fever,7,5,6,6,8,10,6,4,5,8,12,11,88
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiga toxin-producing Escherichia coli infection,0,0,0,0,0,1,0,0,0,0,0,0,1
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis infection,1,2,0,0,1,0,0,0,0,1,0,0,5
Tetanus,0,0,0,0,0,0,0,0,0,0,0,1,1
Tuberculosis,277,282,308,322,333,296,331,307,326,297,347,290,3716
Typhoid fever,1,0,0,1,2,1,1,0,1,2,1,0,10
Typhus and other rickettsial diseases - Scrub typhus,0,2,0,2,0,3,3,3,2,3,3,1,22
Typhus and other rickettsial diseases - Urban typhus,0,0,0,0,0,0,0,0,1,0,0,0,1
Typhus and other rickettsial diseases - Spotted fever,1,1,1,4,5,1,4,1,0,0,3,3,24
Typhus and other rickettsial diseases - Unclassified,0,0,0,0,0,1,2,1,0,0,1,1,6
Viral haemorrhagic fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - A,2,1,2,0,2,0,3,0,1,0,2,2,15
Viral hepatitis - B,0,0,2,0,0,3,4,2,1,4,1,0,17
Viral hepatitis - C,3,2,1,2,0,2,5,2,1,3,1,1,23
Viral hepatitis - D,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - E,4,6,3,4,4,4,5,7,6,14,13,7,77
West Nile Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,0,0,0,0,0,1,0,0,0,0,0,1,2
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),2052,1016,1006,862,645,617,646,673,683,723,747,758,10428
