"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10th week, 2023",,,,,,"Data collected as of March 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,509280,102.99,9053,2.87,4319,1.37,13037,4.14,204720,64.99,2234,0.71,2691,0.85,261,0.08,6714,2.13,1446,0.46,841,0.27,64,0.09,1413,2.04,79,0.17,78,0.16,83,0.17,4,0.01,49,0.1
Hokkaido,22974,100.76,1346,9.75,303,2.2,953,6.91,3714,26.91,168,1.22,34,0.25,3,0.02,148,1.07,31,0.22,16,0.12,1,0.03,31,1.07,-,-,-,-,8,0.35,-,-,3,0.13
Aomori,7816,122.13,101,2.4,36,0.86,61,1.45,2765,65.83,26,0.62,8,0.19,6,0.14,90,2.14,3,0.07,15,0.36,-,-,4,0.4,1,0.17,-,-,20,3.33,-,-,-,-
Iwate,10139,163.53,261,6.53,27,0.68,408,10.2,2560,64,12,0.3,7,0.18,-,-,109,2.73,2,0.05,10,0.25,-,-,25,1.92,1,0.05,1,0.05,3,0.16,-,-,9,0.47
Miyagi,3252,34.23,278,4.79,74,1.28,175,3.02,4477,77.19,42,0.72,9,0.16,8,0.14,148,2.55,-,-,15,0.26,-,-,22,1.83,2,0.17,1,0.08,6,0.5,-,-,-,-
Akita,4001,78.45,39,1.18,31,0.94,118,3.58,1336,40.48,23,0.7,7,0.21,7,0.21,50,1.52,33,1,5,0.15,-,-,7,1,-,-,-,-,1,0.13,-,-,-,-
Yamagata,2763,62.8,146,5.03,39,1.34,123,4.24,2439,84.1,19,0.66,11,0.38,1,0.03,110,3.79,1,0.03,10,0.34,-,-,8,1,3,0.3,-,-,-,-,-,-,1,0.1
Fukushima,3666,44.17,672,13.44,79,1.58,204,4.08,3063,61.26,17,0.34,6,0.12,4,0.08,170,3.4,2,0.04,12,0.24,-,-,37,2.85,2,0.29,-,-,-,-,-,-,-,-
Ibaraki,7928,66.62,100,1.35,63,0.85,296,4,3688,49.84,34,0.46,13,0.18,3,0.04,90,1.22,6,0.08,17,0.23,1,0.06,102,6,-,-,-,-,6,0.5,-,-,1,0.08
Tochigi,6079,79.99,36,0.75,22,0.46,169,3.52,2715,56.56,30,0.63,22,0.46,1,0.02,126,2.63,4,0.08,6,0.13,-,-,29,2.42,1,0.14,1,0.14,-,-,-,-,1,0.14
Gunma,3816,44.37,70,1.32,75,1.42,115,2.17,3698,69.77,65,1.23,11,0.21,9,0.17,155,2.92,9,0.17,19,0.36,-,-,24,1.71,-,-,-,-,-,-,-,-,-,-
Saitama,21498,84.64,199,1.24,215,1.34,492,3.08,11952,74.7,149,0.93,71,0.44,21,0.13,349,2.18,9,0.06,67,0.42,9,0.23,77,1.93,3,0.27,8,0.73,1,0.09,-,-,3,0.27
Chiba,17619,83.9,94,0.72,55,0.42,443,3.38,9249,70.6,103,0.79,17,0.13,8,0.06,190,1.45,10,0.08,36,0.27,1,0.03,74,2.18,1,0.11,3,0.33,-,-,-,-,-,-
Tokyo,34357,83.59,181,0.7,244,0.94,726,2.8,18592,71.78,181,0.7,99,0.38,24,0.09,537,2.07,30,0.12,82,0.32,3,0.08,29,0.76,7,0.28,8,0.32,3,0.12,2,0.08,3,0.12
Kanagawa,36733,102.32,164,0.72,129,0.57,583,2.57,14589,64.27,113,0.5,70,0.31,22,0.1,425,1.87,30,0.13,78,0.34,3,0.06,189,3.78,5,0.45,6,0.55,3,0.27,-,-,1,0.09
Niigata,5924,68.88,351,6.27,102,1.82,508,9.07,3105,55.45,35,0.63,30,0.54,4,0.07,126,2.25,6,0.11,20,0.36,-,-,10,1,1,0.08,3,0.25,1,0.08,-,-,1,0.08
Toyama,8634,179.88,195,6.72,89,3.07,203,7,3071,105.9,27,0.93,8,0.28,2,0.07,50,1.72,10,0.34,5,0.17,-,-,5,0.71,-,-,-,-,-,-,-,-,-,-
Ishikawa,12453,259.44,186,6.41,50,1.72,70,2.41,2815,97.07,27,0.93,54,1.86,1,0.03,71,2.45,5,0.17,4,0.14,-,-,31,4.43,-,-,1,0.2,4,0.8,-,-,-,-
