"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2023",,,,,,"Data collected as of April 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,616359,124.77,14771,4.69,6472,2.06,19293,6.13,258350,82.09,3236,1.03,3721,1.18,370,0.12,9581,3.04,2437,0.77,1212,0.39,82,0.12,2012,2.9,103,0.22,123,0.26,130,0.27,4,0.01,62,0.13
Hokkaido,29621,130.49,2338,16.94,422,3.06,1459,10.57,4883,35.38,229,1.66,36,0.26,5,0.04,216,1.57,44,0.32,25,0.18,1,0.03,43,1.48,-,-,-,-,9,0.39,-,-,4,0.17
Aomori,10288,163.3,118,2.88,52,1.27,85,2.07,3346,81.61,32,0.78,9,0.22,6,0.15,121,2.95,4,0.1,20,0.49,-,-,5,0.5,2,0.33,2,0.33,33,5.5,-,-,-,-
Iwate,12408,200.13,350,8.97,43,1.1,525,13.46,3212,82.36,21,0.54,15,0.38,-,-,159,4.08,3,0.08,11,0.28,-,-,29,2.23,3,0.16,3,0.16,4,0.21,-,-,9,0.47
Miyagi,5145,54.16,340,5.96,96,1.68,232,4.07,5778,101.37,51,0.89,11,0.19,10,0.18,216,3.79,2,0.04,19,0.33,-,-,31,2.58,2,0.17,1,0.08,8,0.67,-,-,-,-
Akita,5659,110.96,46,1.39,37,1.12,188,5.7,1673,50.7,32,0.97,7,0.21,8,0.24,73,2.21,35,1.06,8,0.24,-,-,10,1.43,-,-,-,-,2,0.25,-,-,-,-
Yamagata,5197,120.86,162,5.79,57,2.04,168,6,2820,100.71,30,1.07,14,0.5,3,0.11,142,5.07,1,0.04,14,0.5,-,-,9,1.13,3,0.3,-,-,1,0.1,-,-,1,0.1
Fukushima,5149,62.04,823,16.46,122,2.44,292,5.84,3709,74.18,24,0.48,8,0.16,8,0.16,246,4.92,2,0.04,19,0.38,-,-,61,4.69,2,0.29,1,0.14,2,0.29,-,-,-,-
Ibaraki,9635,80.29,116,1.55,109,1.45,429,5.72,4534,60.45,49,0.65,30,0.4,7,0.09,126,1.68,11,0.15,24,0.32,1,0.06,138,8.12,-,-,-,-,10,0.83,-,-,1,0.08
