"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2023",,,,,,"Data collected as of April 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,13580,2.77,1662,0.53,539,0.17,1537,0.49,11647,3.72,301,0.1,295,0.09,30,0.01,752,0.24,319,0.1,95,0.03,4,0.01,191,0.28,7,0.01,14,0.03,10,0.02,-,-,2,0
Hokkaido,719,3.21,216,1.55,22,0.16,118,0.85,279,2.01,15,0.11,-,-,2,0.01,20,0.14,2,0.01,2,0.01,-,-,-,-,-,-,-,-,1,0.04,-,-,-,-
Aomori,429,7.03,12,0.3,3,0.08,4,0.1,101,2.53,2,0.05,-,-,-,-,6,0.15,-,-,1,0.03,-,-,1,0.1,1,0.17,-,-,-,-,-,-,-,-
Iwate,214,3.51,29,0.74,2,0.05,33,0.85,124,3.18,2,0.05,2,0.05,-,-,13,0.33,-,-,-,-,-,-,4,0.29,1,0.05,1,0.05,-,-,-,-,-,-
Miyagi,434,4.67,23,0.41,3,0.05,18,0.32,209,3.73,3,0.05,1,0.02,-,-,18,0.32,-,-,2,0.04,-,-,4,0.33,-,-,-,-,1,0.08,-,-,-,-
Akita,287,5.52,1,0.03,-,-,11,0.32,78,2.29,1,0.03,-,-,-,-,8,0.24,1,0.03,1,0.03,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
Yamagata,479,11.14,3,0.11,4,0.14,10,0.36,62,2.21,2,0.07,1,0.04,-,-,4,0.14,-,-,-,-,-,-,-,-,-,-,-,-,1,0.1,-,-,-,-
Fukushima,195,2.35,32,0.64,7,0.14,20,0.4,124,2.48,2,0.04,-,-,1,0.02,20,0.4,-,-,-,-,-,-,4,0.31,-,-,-,-,-,-,-,-,-,-
Ibaraki,209,1.74,4,0.05,14,0.19,35,0.47,151,2.01,6,0.08,4,0.05,1,0.01,6,0.08,3,0.04,2,0.03,-,-,21,1.24,-,-,-,-,1,0.08,-,-,-,-
