Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-08-01,2025/08/01,2025 August,Total,甲乙丙类传染病总计,776879,1921,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D999,Total,甲乙丙类传染病总计
2025-08-01,2025/08/01,2025 August,Plague,鼠疫,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D001,Plague,鼠疫
2025-08-01,2025/08/01,2025 August,Cholera,霍乱,5,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D002,Cholera,霍乱
2025-08-01,2025/08/01,2025 August,SARS,传染性非典型肺炎,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D003,SARS,传染性非典型肺炎
2025-08-01,2025/08/01,2025 August,HIV/AIDS,艾滋病,3754,1402,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D005,HIV/AIDS,艾滋病
2025-08-01,2025/08/01,2025 August,Viral Hepatitis,病毒性肝炎,130104,227,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D006,Viral Hepatitis,病毒性肝炎
2025-08-01,2025/08/01,2025 August,Hepatitis A,甲型肝炎,1311,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D007,Hepatitis A,甲型肝炎
2025-08-01,2025/08/01,2025 August,Hepatitis B,乙型肝炎,109355,37,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D008,Hepatitis B,乙型肝炎
2025-08-01,2025/08/01,2025 August,Hepatitis C,丙型肝炎,16138,189,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D009,Hepatitis C,丙型肝炎
2025-08-01,2025/08/01,2025 August,Hepatitis D,丁型肝炎,13,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_1963855822880935936.html,National Disease Control and Prevention Administration,D010,Hepatitis D,丁型肝炎
