Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-09-01,2025/09/01,2025 September,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2025-09-01,2025/09/01,2025 September,Novel Influenza,人感染新亚型流感,2.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D016,Novel Influenza,人感染新亚型流感
2025-09-01,2025/09/01,2025 September,Measles,麻疹,55.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D017,Measles,麻疹
2025-09-01,2025/09/01,2025 September,Hemorrhagic Fever,流行性出血热,102.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2025-09-01,2025/09/01,2025 September,Rabies,狂犬病,26.0,29.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D019,Rabies,狂犬病
2025-09-01,2025/09/01,2025 September,Japanese Encephalitis,流行性乙型脑炎,66.0,3.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2025-09-01,2025/09/01,2025 September,Dengue,登革热,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D021,Dengue,登革热
2025-09-01,2025/09/01,2025 September,SFTS,发热伴血小板减少综合征,84.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D057,SFTS,发热伴血小板减少综合征
2025-09-01,2025/09/01,2025 September,Anthrax,炭疽,68.0,1.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D023,Anthrax,炭疽
2025-09-01,2025/09/01,2025 September,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2025-09-01,2025/09/01,2025 September,Tuberculosis,肺结核,,262.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D025,Tuberculosis,肺结核
2025-09-01,2025/09/01,2025 September,Typhoid and Paratyphoid fever,伤寒和副伤寒,619.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2025-09-01,2025/09/01,2025 September,Meningococcal Meningitis,流行性脑脊髓膜炎,10.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2025-09-01,2025/09/01,2025 September,Pertussis,百日咳,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D028,Pertussis,百日咳
2025-09-01,2025/09/01,2025 September,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D029,Diphtheria,白喉
2025-09-01,2025/09/01,2025 September,Neonatal Tetanus,新生儿破伤风,0.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2025-09-01,2025/09/01,2025 September,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D031,Scarlet fever,猩红热
2025-09-01,2025/09/01,2025 September,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D032,Brucellosis,布鲁氏菌病
2025-09-01,2025/09/01,2025 September,Gonorrhea,淋病,,1.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D033,Gonorrhea,淋病
2025-09-01,2025/09/01,2025 September,Syphilis,梅毒,,5.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D034,Syphilis,梅毒
2025-09-01,2025/09/01,2025 September,Leptospirosis,钩端螺旋体病,176.0,2.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D035,Leptospirosis,钩端螺旋体病
2025-09-01,2025/09/01,2025 September,Schistosomiasis,血吸虫病,4.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D036,Schistosomiasis,血吸虫病
2025-09-01,2025/09/01,2025 September,Malaria,疟疾,352.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D037,Malaria,疟疾
2025-09-01,2025/09/01,2025 September,Influenza,流行性感冒,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D038,Influenza,流行性感冒
2025-09-01,2025/09/01,2025 September,Mumps,流行性腮腺炎,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D039,Mumps,流行性腮腺炎
2025-09-01,2025/09/01,2025 September,Rubella,风疹,45.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D040,Rubella,风疹
2025-09-01,2025/09/01,2025 September,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2025-09-01,2025/09/01,2025 September,Leprosy,麻风病,17.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D042,Leprosy,麻风病
2025-09-01,2025/09/01,2025 September,Typhus,流行性和地方性斑疹伤寒,195.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2025-09-01,2025/09/01,2025 September,Kala-azar,黑热病,27.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D044,Kala-azar,黑热病
2025-09-01,2025/09/01,2025 September,Echinococcosis,包虫病,357.0,2.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D045,Echinococcosis,包虫病
2025-09-01,2025/09/01,2025 September,Filariasis,丝虫病,0.0,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D046,Filariasis,丝虫病
2025-09-01,2025/09/01,2025 September,Hand-Foot-Mouth Disease,手足口病,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D048,Hand-Foot-Mouth Disease,手足口病
2025-09-01,2025/09/01,2025 September,Infectious Diarrhea,其他感染性腹泻病,,0.0,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D047,Infectious Diarrhea,其他感染性腹泻病
2025-09-01,2025/09/01,2025 September,Total,甲乙丙类传染病总计,,,-10,-10,全国,China,100000,pmid:41393195; pmc:PMC12699274; doi:10.46234/ccdcw2025.257,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699274/,PubMed,D999,Total,甲乙丙类传染病总计
