"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"23rd week, 2026",,,,,,"Data collected as of June 10, 2026"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,169196,45.32,,,,
Hokkaido,7335,44.19,,,,
Aomori,2351,45.21,,,,
Iwate,2692,64.1,,,,
Miyagi,3418,62.15,,,,
Akita,808,32.32,,,,
Yamagata,1823,47.97,,,,
Fukushima,2479,51.65,,,,
Ibaraki,3350,49.26,,,,
Tochigi,2797,59.51,,,,
Gunma,2921,64.91,,,,
Saitama,11315,65.03,,,,
Chiba,9190,51.06,,,,
Tokyo,18943,45.21,,,,
Kanagawa,13604,55.98,,,,
Niigata,2208,42.46,,,,
Toyama,2932,61.08,,,,
Ishikawa,2426,51.62,,,,
Fukui,1100,28.21,,,,
Yamanashi,990,28.29,,,,
Nagano,2619,52.38,,,,
Gifu,1374,30.53,,,,
Shizuoka,3857,35.71,,,,
Aichi,8562,52.53,,,,
Mie,2126,30.81,,,,
Shiga,1458,37.38,,,,
Kyoto,2606,41.37,,,,
Osaka,8763,30.75,,,,
Hyogo,6386,39.42,,,,
Nara,1397,33.26,,,,
Wakayama,1406,31.24,,,,
Tottori,1226,42.28,,,,
Shimane,828,41.4,,,,
Okayama,2080,41.6,,,,
Hiroshima,3797,40.83,,,,
Yamaguchi,2912,47.74,,,,
Tokushima,846,25.64,,,,
Kagawa,626,27.22,,,,
Ehime,2015,53.03,,,,
Kochi,1051,28.41,,,,
Fukuoka,5706,46.77,,,,
Saga,980,40.83,,,,
Nagasaki,2574,50.47,,,,
Kumamoto,3543,49.9,,,,
Oita,2361,40.71,,,,
Miyazaki,878,31.36,,,,
Kagoshima,2572,45.12,,,,
Okinawa,1965,44.66,,,,
