"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2024",,,,,,"Data collected as of January 31, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,308377,62.65,922,0.3,16932,5.42,41268,13.21,73239,23.44,1788,0.57,2020,0.65,205,0.07,2294,0.73,326,0.1,322,0.1,32,0.05,1969,2.85,25,0.05,39,0.08,127,0.26,2,0,21,0.04,212267,43.13
Hokkaido,6764,30.33,246,1.8,1857,13.55,3004,21.93,1288,9.4,96,0.7,18,0.13,2,0.01,55,0.4,6,0.04,7,0.05,-,-,37,1.28,1,0.04,1,0.04,-,-,-,-,-,-,10199,45.74
Aomori,2145,36.36,4,0.11,173,4.68,310,8.38,850,22.97,21,0.57,20,0.54,2,0.05,23,0.62,3,0.08,2,0.05,-,-,23,2.3,-,-,-,-,9,1.5,-,-,-,-,1539,26.08
Iwate,2766,45.34,19,0.49,241,6.18,321,8.23,895,22.95,30,0.77,36,0.92,-,-,45,1.15,10,0.26,8,0.21,-,-,25,1.79,1,0.05,1,0.05,8,0.42,-,-,1,0.05,2805,45.98
Miyagi,5804,63.78,12,0.22,439,7.98,741,13.47,1009,18.35,30,0.55,13,0.24,5,0.09,47,0.85,2,0.04,4,0.07,-,-,5,0.42,1,0.1,1,0.1,-,-,-,-,-,-,4089,44.93
Akita,2831,56.62,1,0.03,65,2.03,157,4.91,290,9.06,27,0.84,22,0.69,-,-,20,0.63,2,0.06,-,-,1,0.14,10,1.43,-,-,-,-,1,0.13,-,-,-,-,1548,30.96
Yamagata,2258,52.51,5,0.18,296,10.57,729,26.04,502,17.93,15,0.54,31,1.11,5,0.18,38,1.36,2,0.07,2,0.07,-,-,10,1.25,-,-,-,-,-,-,-,-,2,0.2,1598,37.16
Fukushima,4781,58.3,57,1.16,368,7.51,717,14.63,659,13.45,32,0.65,5,0.1,6,0.12,50,1.02,-,-,3,0.06,1,0.08,36,2.77,-,-,-,-,1,0.14,-,-,1,0.14,5438,66.32
Ibaraki,8559,71.33,14,0.19,278,3.71,1223,16.31,1641,21.88,22,0.29,14,0.19,4,0.05,22,0.29,14,0.19,4,0.05,-,-,81,4.76,-,-,2,0.15,6,0.46,-,-,-,-,7900,65.83
Tochigi,4093,53.86,19,0.4,181,3.77,495,10.31,727,15.15,5,0.1,33,0.69,2,0.04,41,0.85,2,0.04,2,0.04,1,0.08,49,4.08,2,0.29,-,-,-,-,-,-,-,-,4132,54.37
Gunma,4205,49.47,6,0.11,225,4.25,797,15.04,1181,22.28,21,0.4,75,1.42,3,0.06,40,0.75,5,0.09,11,0.21,1,0.07,27,1.93,1,0.11,-,-,-,-,-,-,-,-,4287,50.44
Saitama,19906,76.86,30,0.19,967,5.97,2646,16.33,5054,31.2,138,0.85,45,0.28,13,0.08,126,0.78,9,0.06,36,0.22,2,0.05,96,2.34,-,-,-,-,2,0.17,-,-,-,-,12833,49.55
