"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2023",,,,,,"Data collected as of August 2, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,8088,1.64,7073,2.25,1677,0.53,4135,1.32,10239,3.26,309,0.1,4001,1.27,66,0.02,786,0.25,13629,4.34,177,0.06,8,0.01,350,0.5,8,0.02,20,0.04,17,0.04,-,-,4,0.01,78502,15.91
Hokkaido,64,0.29,291,2.09,84,0.6,222,1.6,227,1.63,15,0.11,77,0.55,24,0.17,27,0.19,1444,10.39,15,0.11,-,-,5,0.17,-,-,-,-,-,-,-,-,-,-,1979,8.83
Aomori,1,0.02,43,1.13,8,0.21,12,0.32,91,2.39,2,0.05,30,0.79,-,-,7,0.18,405,10.66,1,0.03,-,-,-,-,-,-,-,-,2,0.33,-,-,-,-,494,8.23
Iwate,22,0.35,68,1.74,8,0.21,28,0.72,132,3.38,1,0.03,51,1.31,4,0.1,16,0.41,576,14.77,1,0.03,-,-,6,0.43,-,-,-,-,1,0.05,-,-,-,-,822,13.26
Miyagi,12,0.13,229,4.16,18,0.33,25,0.45,111,2.02,1,0.02,102,1.85,1,0.02,6,0.11,563,10.24,3,0.05,1,0.08,2,0.17,-,-,-,-,1,0.1,-,-,-,-,1675,18.41
Akita,3,0.06,69,2.03,3,0.09,4,0.12,59,1.74,2,0.06,28,0.82,1,0.03,1,0.03,314,9.24,1,0.03,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-,367,7.06
Yamagata,1,0.02,123,4.39,9,0.32,39,1.39,37,1.32,3,0.11,28,1,1,0.04,13,0.46,612,21.86,3,0.11,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-,464,10.79
Fukushima,55,0.67,212,4.33,15,0.31,52,1.06,80,1.63,3,0.06,111,2.27,1,0.02,20,0.41,435,8.88,20,0.41,-,-,3,0.23,-,-,-,-,1,0.14,-,-,-,-,1118,13.63
Ibaraki,71,0.59,155,2.07,40,0.53,158,2.11,240,3.2,8,0.11,182,2.43,-,-,14,0.19,251,3.35,-,-,-,-,20,1.18,2,0.15,-,-,1,0.08,-,-,-,-,2004,16.7
Tochigi,21,0.28,111,2.31,5,0.1,38,0.79,85,1.77,1,0.02,94,1.96,3,0.06,12,0.25,239,4.98,3,0.06,-,-,9,0.75,1,0.14,-,-,-,-,-,-,-,-,937,12.33
Gunma,33,0.38,105,1.94,47,0.87,44,0.81,211,3.91,7,0.13,27,0.5,1,0.02,16,0.3,252,4.67,6,0.11,-,-,4,0.29,-,-,-,-,-,-,-,-,-,-,865,9.94
Saitama,268,1.03,245,1.49,99,0.6,267,1.63,765,4.66,29,0.18,216,1.32,2,0.01,50,0.3,705,4.3,13,0.08,1,0.02,18,0.43,-,-,2,0.18,-,-,-,-,-,-,3493,13.38
Chiba,262,1.29,147,1.16,46,0.36,193,1.52,494,3.89,13,0.1,121,0.95,3,0.02,31,0.24,534,4.2,10,0.08,1,0.03,19,0.54,1,0.11,-,-,-,-,-,-,-,-,3728,18.36
Tokyo,500,1.2,308,1.18,103,0.39,349,1.34,966,3.7,28,0.11,170,0.65,2,0.01,65,0.25,840,3.22,15,0.06,-,-,14,0.36,-,-,-,-,-,-,-,-,-,-,4613,11.12
Kanagawa,223,0.61,380,1.65,71,0.31,241,1.05,711,3.09,24,0.1,140,0.61,5,0.02,44,0.19,624,2.71,12,0.05,1,0.02,59,1.18,-,-,2,0.17,1,0.08,-,-,-,-,4371,12.04
Niigata,79,0.94,205,3.8,16,0.3,54,1,208,3.85,10,0.19,383,7.09,-,-,10,0.19,361,6.69,2,0.04,1,0.1,-,-,-,-,1,0.08,1,0.08,-,-,1,0.08,1555,18.51
Toyama,4,0.08,97,3.34,15,0.52,55,1.9,100,3.45,3,0.1,67,2.31,-,-,7,0.24,93,3.21,-,-,-,-,4,0.57,-,-,-,-,1,0.2,-,-,-,-,558,11.63
Ishikawa,35,0.73,68,2.34,8,0.28,12,0.41,128,4.41,6,0.21,77,2.66,-,-,9,0.31,121,4.17,-,-,2,0.29,2,0.29,-,-,-,-,-,-,-,-,-,-,1158,24.13
Fukui,2,0.05,38,1.52,7,0.28,43,1.72,77,3.08,1,0.04,85,3.4,-,-,5,0.2,80,3.2,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-,393,10.08
Yamanashi,11,0.27,82,3.42,6,0.25,2,0.08,73,3.04,1,0.04,2,0.08,1,0.04,11,0.46,101,4.21,1,0.04,-,-,3,0.33,-,-,-,-,-,-,-,-,-,-,583,14.22
Nagano,12,0.14,180,3.33,16,0.3,18,0.33,182,3.37,-,-,20,0.37,2,0.04,9,0.17,530,9.81,1,0.02,-,-,8,0.8,-,-,1,0.08,1,0.08,-,-,-,-,1074,12.2
Gifu,23,0.26,105,1.98,15,0.28,56,1.06,134,2.53,4,0.08,17,0.32,2,0.04,10,0.19,214,4.04,2,0.04,-,-,3,0.27,-,-,-,-,-,-,-,-,1,0.2,1557,17.9
Shizuoka,139,1,239,2.69,25,0.28,65,0.73,253,2.84,2,0.02,60,0.67,1,0.01,21,0.24,246,2.76,5,0.06,-,-,2,0.09,-,-,1,0.1,2,0.2,-,-,-,-,2352,16.92
Aichi,164,0.84,300,1.65,68,0.37,190,1.04,512,2.81,22,0.12,33,0.18,2,0.01,31,0.17,595,3.27,9,0.05,-,-,9,0.26,1,0.07,1,0.07,-,-,-,-,-,-,4059,20.82
Mie,174,2.42,218,4.84,12,0.27,26,0.58,178,3.96,3,0.07,23,0.51,-,-,8,0.18,186,4.13,1,0.02,-,-,3,0.25,-,-,1,0.11,-,-,-,-,-,-,1328,18.44
Shiga,116,1.93,36,1,5,0.14,64,1.78,86,2.39,3,0.08,26,0.72,-,-,8,0.22,86,2.39,2,0.06,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,894,14.9
Kyoto,108,0.87,78,1.04,64,0.85,127,1.69,156,2.08,5,0.07,34,0.45,-,-,14,0.19,118,1.57,2,0.03,-,-,10,0.56,1,0.14,-,-,-,-,-,-,1,0.14,2051,16.54
Osaka,275,0.92,232,1.19,326,1.67,422,2.16,577,2.96,19,0.1,85,0.44,3,0.02,35,0.18,444,2.28,9,0.05,-,-,21,0.4,-,-,-,-,-,-,-,-,-,-,4399,14.66
Hyogo,228,1.15,297,2.3,159,1.23,136,1.05,457,3.54,18,0.14,97,0.75,1,0.01,26,0.2,344,2.67,10,0.08,-,-,29,0.83,-,-,4,0.29,-,-,-,-,-,-,2795,14.05
Nara,35,0.64,51,1.5,28,0.82,106,3.12,97,2.85,2,0.06,6,0.18,-,-,8,0.24,48,1.41,-,-,-,-,4,0.4,-,-,-,-,-,-,-,-,-,-,929,16.89
Wakayama,10,0.2,51,1.7,10,0.33,32,1.07,97,3.23,3,0.1,8,0.27,-,-,5,0.17,71,2.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,854,17.43
Tottori,38,1.31,58,3.05,3,0.16,46,2.42,69,3.63,1,0.05,42,2.21,-,-,2,0.11,77,4.05,1,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,740,25.52
Shimane,10,0.26,101,4.39,2,0.09,12,0.52,99,4.3,1,0.04,156,6.78,-,-,6,0.26,65,2.83,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,567,14.92
Okayama,42,0.5,100,1.85,14,0.26,17,0.31,173,3.2,2,0.04,164,3.04,-,-,21,0.39,126,2.33,2,0.04,-,-,5,0.42,-,-,-,-,-,-,-,-,-,-,1296,15.43
Hiroshima,121,1.08,115,1.64,24,0.34,117,1.67,252,3.6,7,0.1,86,1.23,1,0.01,19,0.27,205,2.93,3,0.04,-,-,17,0.89,-,-,-,-,1,0.05,-,-,-,-,1783,15.92
Yamaguchi,207,3.09,109,2.53,2,0.05,94,2.19,153,3.56,4,0.09,137,3.19,-,-,13,0.3,143,3.33,2,0.05,-,-,1,0.11,-,-,-,-,1,0.11,-,-,-,-,1257,18.76
Tokushima,15,0.41,154,6.7,6,0.26,7,0.3,65,2.83,1,0.04,17,0.74,-,-,9,0.39,46,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,677,18.3
Kagawa,4,0.09,88,3.14,8,0.29,21,0.75,89,3.18,6,0.21,24,0.86,-,-,8,0.29,57,2.04,1,0.04,-,-,2,0.4,-,-,1,0.2,-,-,-,-,-,-,827,17.6
Ehime,407,6.67,158,4.27,15,0.41,32,0.86,200,5.41,6,0.16,14,0.38,-,-,15,0.41,93,2.51,2,0.05,-,-,11,1.38,-,-,-,-,-,-,-,-,1,0.17,1288,21.11
Kochi,9,0.2,103,3.96,3,0.12,7,0.27,47,1.81,3,0.12,39,1.5,-,-,7,0.27,39,1.5,-,-,-,-,-,-,-,-,1,0.13,1,0.13,-,-,-,-,900,20.45
Fukuoka,1076,5.43,448,3.73,165,1.38,392,3.27,496,4.13,23,0.19,443,3.69,1,0.01,50,0.42,525,4.38,4,0.03,-,-,16,0.62,-,-,2,0.13,-,-,-,-,-,-,4284,21.64
Saga,66,1.69,82,3.57,7,0.3,18,0.78,51,2.22,-,-,66,2.87,1,0.04,10,0.43,44,1.91,-,-,-,-,2,0.5,1,0.17,-,-,-,-,-,-,-,-,1240,31.79
Nagasaki,336,4.8,90,2.05,11,0.25,72,1.64,99,2.25,2,0.05,75,1.7,-,-,11,0.25,83,1.89,2,0.05,-,-,1,0.13,-,-,2,0.17,-,-,-,-,-,-,2120,30.29
Kumamoto,707,8.84,177,3.54,15,0.3,38,0.76,193,3.86,4,0.08,86,1.72,-,-,21,0.42,215,4.3,5,0.1,-,-,5,0.56,-,-,-,-,-,-,-,-,-,-,1973,24.66
Oita,204,3.52,147,4.08,20,0.56,51,1.42,273,7.58,2,0.06,81,2.25,-,-,21,0.58,115,3.19,3,0.08,-,-,4,0.8,-,-,-,-,2,0.18,-,-,-,-,1411,24.33
Miyazaki,513,8.84,133,3.69,7,0.19,40,1.11,192,5.33,4,0.11,106,2.94,1,0.03,15,0.42,70,1.94,-,-,-,-,3,0.5,-,-,-,-,-,-,-,-,-,-,1578,27.21
