報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2026年05週(01月26日～02月01日),2026年02月04日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,294035,79.77,33240,10.34,40111,10.55,43040,11.32,63353,16.65,114291,30.03
北海道,5293,32.47,1095,7.55,725,4.34,748,4.45,989,5.89,1736,10.33
青森県,2524,50.48,402,8.93,369,7.1,313,6.02,524,10.08,916,17.62
岩手県,1900,45.24,209,4.98,240,5.71,242,5.76,330,7.86,879,20.93
宮城県,5550,100.91,292,5.31,532,9.67,663,12.05,1367,24.85,2696,49.02
秋田県,1222,50.92,298,13.55,139,5.56,123,4.92,233,9.32,429,17.16
山形県,2015,55.97,265,9.46,268,6.87,240,6.32,453,11.62,789,20.23
福島県,3528,73.5,466,9.71,353,7.35,380,7.92,744,15.5,1585,33.02
茨城県,6378,99.66,970,17.64,764,11.4,841,12.55,1294,19.31,2509,37.45
栃木県,3499,81.37,269,9.28,370,7.87,411,8.74,660,14.04,1789,38.06
群馬県,2260,56.5,230,9.58,380,8.44,372,8.27,452,10.04,826,18.36
埼玉県,16722,103.22,1580,14.91,1927,10.95,2153,12.23,3903,22.18,7159,40.68
千葉県,18489,104.46,1129,7.33,2029,11.15,2544,13.9,4354,23.79,8433,46.08
東京都,24231,61.97,1389,4.93,2882,6.88,3032,7.25,5779,13.83,11149,26.67
神奈川県,18603,83.42,696,4.8,2197,9.08,2357,9.78,4432,18.24,8921,36.56
新潟県,2717,49.4,476,8.65,420,7.64,323,5.87,423,7.69,1075,19.55
富山県,2050,45.56,259,6.64,368,7.83,307,6.53,418,8.89,698,14.85
石川県,2156,45.87,283,6.02,390,8.3,417,8.87,461,9.81,605,12.87
福井県,1957,50.18,321,8.23,292,7.49,335,8.59,427,10.95,582,14.92
山梨県,3241,92.6,176,5.03,351,10.03,292,8.34,778,22.23,1644,46.97
長野県,3274,68.21,544,13.6,505,10.1,498,9.96,599,11.98,1128,22.56
岐阜県,3866,87.86,847,19.7,375,8.33,532,11.82,741,16.47,1371,30.47
静岡県,13418,96.53,965,6.94,1605,11.55,1671,12.02,3160,22.73,6017,43.29
愛知県,16237,99.61,1935,11.87,2225,13.65,2256,13.84,3505,21.5,6316,38.75
三重県,6715,106.59,532,12.37,808,11.71,894,12.96,1645,23.84,2836,41.1
滋賀県,3467,63.04,526,12.23,512,8.83,484,8.34,685,11.81,1260,21.72
京都府,4866,74.86,577,9.31,717,10.86,768,11.46,1038,15.73,1766,26.76
大阪府,15808,54.51,1869,6.44,2345,8.09,2371,8.18,3251,11.21,5972,20.59
兵庫県,14901,94.31,1028,7.5,2032,12.39,2312,14.1,3499,21.34,6030,36.77
奈良県,2715,75.42,58,3.41,411,10.02,420,10.24,599,14.26,1227,29.21
和歌山県,4052,92.09,326,7.58,556,12.36,636,14.13,974,21.64,1560,34.67
鳥取県,1457,50.24,386,13.31,328,11.31,258,8.9,211,7.28,274,9.45
島根県,1790,89.5,361,18.05,270,13.5,276,13.8,322,16.1,561,28.05
岡山県,3140,62.8,539,10.78,615,12.3,557,11.14,553,11.06,876,17.52
広島県,4859,55.22,855,12.21,889,9.56,795,8.55,841,9.04,1479,15.9
山口県,4603,73.06,451,7.16,648,10.29,813,12.9,1040,16.51,1651,26.21
徳島県,2116,64.12,314,9.52,426,12.91,370,11.21,374,11.33,632,19.15
