累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026年05週(01月26日～02月01日),2026年02月04日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
三重県,6715,106.59,176,4.4,46,1.15,274,6.85,1219,30.48,39,0.98,1,0.03,33,0.83,36,0.9,-,-,1,0.03,1,0.1,9,0.9,-,-,-,-,24,3,-,-,1,0.13,448,7.11
滋賀県,3467,63.04,118,3.69,22,0.69,287,8.97,840,26.25,89,2.78,5,0.16,15,0.47,17,0.53,1,0.03,3,0.09,-,-,1,0.11,-,-,-,-,3,0.43,-,-,-,-,253,4.6
京都府,4866,74.86,117,3.08,128,3.37,552,14.53,1225,32.24,112,2.95,2,0.05,25,0.66,41,1.08,-,-,7,0.18,1,0.06,6,0.35,1,0.14,-,-,38,5.43,3,0.43,2,0.29,429,6.6
大阪府,15808,54.51,940,5.08,250,1.35,1264,6.83,4396,23.76,327,1.77,33,0.18,102,0.55,175,0.95,16,0.09,23,0.12,2,0.04,74,1.45,3,0.17,1,0.06,22,1.22,7,0.39,4,0.22,973,3.36
兵庫県,14901,94.31,431,4.31,163,1.63,996,9.96,2565,25.65,189,1.89,13,0.13,102,1.02,107,1.07,7,0.07,16,0.16,1,0.03,31,0.94,2,0.14,4,0.29,22,1.57,1,0.07,3,0.21,933,5.91
奈良県,2715,75.42,122,6.1,41,2.05,163,8.15,617,30.85,27,1.35,2,0.1,17,0.85,36,1.8,-,-,1,0.05,-,-,9,1.13,-,-,2,0.33,7,1.17,-,-,2,0.33,198,5.5
和歌山県,4052,92.09,149,5.73,35,1.35,122,4.69,544,20.92,18,0.69,1,0.04,30,1.15,30,1.15,-,-,5,0.19,-,-,6,2,1,0.09,-,-,16,1.45,-,-,-,-,264,6
鳥取県,1457,50.24,58,3.05,24,1.26,285,15,363,19.11,19,1,3,0.16,17,0.89,16,0.84,1,0.05,1,0.05,-,-,2,0.4,1,0.2,1,0.2,30,6,-,-,-,-,217,7.48
島根県,1790,89.5,91,8.27,54,4.91,147,13.36,314,28.55,47,4.27,-,-,7,0.64,35,3.18,1,0.09,-,-,-,-,10,3.33,-,-,1,0.13,26,3.25,-,-,-,-,190,9.5
岡山県,3140,62.8,124,4.43,13,0.46,177,6.32,815,29.11,34,1.21,40,1.43,95,3.39,36,1.29,7,0.25,8,0.29,-,-,9,0.75,-,-,-,-,19,3.8,-,-,2,0.4,318,6.36
広島県,4859,55.22,129,2.48,86,1.65,494,9.5,1419,27.29,70,1.35,6,0.12,53,1.02,25,0.48,2,0.04,8,0.15,-,-,58,3.41,-,-,1,0.05,82,4.1,-,-,6,0.3,474,5.39
山口県,4603,73.06,192,4.8,34,0.85,639,15.98,978,24.45,34,0.85,6,0.15,177,4.43,46,1.15,2,0.05,6,0.15,-,-,11,1.22,1,0.11,-,-,22,2.44,-,-,-,-,324,5.14
徳島県,2116,64.12,68,3.24,15,0.71,77,3.67,389,18.52,16,0.76,6,0.29,55,2.62,25,1.19,2,0.1,-,-,-,-,3,0.75,-,-,-,-,16,2.29,-,-,1,0.14,255,7.73
香川県,1095,47.61,61,4.69,13,1,83,6.38,341,26.23,11,0.85,1,0.08,35,2.69,10,0.77,-,-,-,-,1,0.25,10,2.5,-,-,1,0.2,11,2.2,-,-,3,0.6,179,7.78
愛媛県,3948,116.12,77,4.28,34,1.89,487,27.06,668,37.11,33,1.83,-,-,83,4.61,36,2,-,-,1,0.06,-,-,61,8.71,-,-,-,-,11,1.83,-,-,-,-,402,11.82
高知県,4000,105.26,36,1.8,7,0.35,132,6.6,256,12.8,16,0.8,1,0.05,53,2.65,13,0.65,1,0.05,3,0.15,-,-,2,0.67,2,0.25,1,0.13,10,1.25,-,-,3,0.38,421,11.08
福岡県,12800,104.92,221,3.16,197,2.81,1502,21.46,2816,40.23,197,2.81,40,0.57,55,0.79,109,1.56,20,0.29,8,0.11,5,0.19,85,3.27,2,0.13,3,0.2,17,1.13,-,-,1,0.07,356,2.92
佐賀県,2304,100.17,27,2.45,26,2.36,165,15,361,32.82,15,1.36,5,0.45,35,3.18,27,2.45,2,0.18,-,-,-,-,5,1.67,2,0.33,-,-,3,0.5,-,-,-,-,84,3.65
長崎県,5566,111.32,48,1.6,125,4.17,298,9.93,771,25.7,53,1.77,36,1.2,90,3,31,1.03,5,0.17,2,0.07,2,0.29,49,7,-,-,2,0.17,18,1.5,-,-,-,-,167,3.34
熊本県,6823,96.1,205,4.27,56,1.17,396,8.25,1326,27.63,113,2.35,59,1.23,246,5.13,91,1.9,14,0.29,10,0.21,-,-,38,4.75,1,0.07,-,-,24,1.6,-,-,1,0.07,274,3.86
大分県,7838,135.14,72,2,96,2.67,443,12.31,1786,49.61,107,2.97,10,0.28,60,1.67,65,1.81,2,0.06,11,0.31,1,0.2,15,3,-,-,1,0.09,6,0.55,-,-,-,-,217,3.74
宮崎県,4611,170.78,23,1.64,112,8,170,12.14,682,48.71,33,2.36,6,0.43,77,5.5,31,2.21,-,-,-,-,-,-,37,7.4,-,-,-,-,7,1,-,-,2,0.29,126,4.67
鹿児島県,9090,159.47,150,4.84,115,3.71,390,12.58,927,29.9,80,2.58,4,0.13,205,6.61,44,1.42,2,0.06,3,0.1,-,-,32,4.57,-,-,-,-,16,1.33,-,-,-,-,115,2.02
沖縄県,4341,96.47,16,0.64,38,1.52,187,7.48,513,20.52,103,4.12,14,0.56,23,0.92,23,0.92,6,0.24,4,0.16,-,-,116,12.89,-,-,6,0.86,-,-,-,-,2,0.29,155,3.44
