"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2023",,,,,,"Data collected as of April 19, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,10587,2.16,2711,0.87,615,0.2,1845,0.59,13149,4.2,283,0.09,417,0.13,43,0.01,806,0.26,577,0.18,114,0.04,7,0.01,166,0.24,7,0.01,11,0.02,10,0.02,-,-,2,0
Hokkaido,533,2.38,316,2.27,36,0.26,133,0.96,319,2.29,9,0.06,-,-,-,-,11,0.08,3,0.02,3,0.02,-,-,8,0.28,-,-,-,-,1,0.04,-,-,-,-
Aomori,286,4.69,31,0.78,3,0.08,6,0.15,81,2.03,2,0.05,1,0.03,-,-,6,0.15,-,-,-,-,-,-,1,0.1,-,-,1,0.17,1,0.17,-,-,-,-
Iwate,98,1.61,21,0.54,1,0.03,24,0.62,121,3.1,1,0.03,2,0.05,-,-,18,0.46,-,-,-,-,-,-,1,0.07,-,-,-,-,-,-,-,-,-,-
Miyagi,342,3.76,30,0.55,10,0.18,40,0.73,191,3.47,3,0.05,-,-,1,0.02,15,0.27,1,0.02,2,0.04,-,-,5,0.42,-,-,-,-,1,0.1,-,-,-,-
Akita,156,3,2,0.06,1,0.03,10,0.29,66,1.94,3,0.09,-,-,-,-,2,0.06,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Yamagata,280,6.51,3,0.11,9,0.32,9,0.32,70,2.5,2,0.07,-,-,-,-,7,0.25,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukushima,149,1.8,39,0.78,8,0.16,28,0.56,164,3.28,2,0.04,1,0.02,2,0.04,20,0.4,-,-,3,0.06,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Ibaraki,126,1.05,10,0.13,13,0.17,30,0.4,154,2.05,6,0.08,5,0.07,-,-,4,0.05,6,0.08,3,0.04,1,0.06,12,0.71,-,-,1,0.08,1,0.08,-,-,-,-
