"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2023",,,,,,"Data collected as of April 19, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,627008,126.95,17503,5.56,7088,2.25,21142,6.72,271529,86.28,3520,1.12,4139,1.32,414,0.13,10392,3.3,3017,0.96,1326,0.42,89,0.13,2178,3.14,110,0.23,134,0.28,140,0.29,4,0.01,64,0.13
Hokkaido,30154,132.84,2654,19.23,458,3.32,1592,11.54,5202,37.7,238,1.72,36,0.26,5,0.04,227,1.64,47,0.34,28,0.2,1,0.03,51,1.76,-,-,-,-,10,0.43,-,-,4,0.17
Aomori,10574,167.84,149,3.63,55,1.34,91,2.22,3427,83.59,34,0.83,10,0.24,6,0.15,127,3.1,4,0.1,20,0.49,-,-,6,0.6,2,0.33,3,0.5,34,5.67,-,-,-,-
Iwate,12506,201.71,371,9.51,44,1.13,549,14.08,3333,85.46,22,0.56,17,0.44,-,-,177,4.54,3,0.08,11,0.28,-,-,30,2.31,3,0.16,3,0.16,4,0.21,-,-,9,0.47
Miyagi,5487,58.37,370,6.49,106,1.86,272,4.77,5969,104.72,54,0.95,11,0.19,11,0.19,231,4.05,3,0.05,21,0.37,-,-,36,3,2,0.18,1,0.09,9,0.82,-,-,-,-
Akita,5815,114.02,48,1.45,38,1.15,198,6,1739,52.7,35,1.06,7,0.21,8,0.24,75,2.27,35,1.06,8,0.24,-,-,11,1.57,-,-,-,-,2,0.25,-,-,-,-
Yamagata,5477,127.37,165,5.89,66,2.36,177,6.32,2890,103.21,32,1.14,14,0.5,3,0.11,149,5.32,1,0.04,15,0.54,-,-,9,1.13,3,0.3,-,-,1,0.1,-,-,1,0.1
Fukushima,5298,63.83,862,17.24,130,2.6,320,6.4,3873,77.46,26,0.52,9,0.18,10,0.2,266,5.32,2,0.04,22,0.44,-,-,62,4.77,2,0.29,1,0.14,2,0.29,-,-,-,-
Ibaraki,9761,81.34,126,1.68,122,1.63,459,6.12,4688,62.51,55,0.73,35,0.47,7,0.09,130,1.73,17,0.23,27,0.36,2,0.12,150,8.82,-,-,1,0.08,11,0.92,-,-,1,0.08
Tochigi,8250,108.55,60,1.25,39,0.81,271,5.65,3430,71.46,53,1.1,24,0.5,1,0.02,185,3.85,4,0.08,10,0.21,-,-,37,3.08,2,0.29,1,0.14,-,-,-,-,1,0.14
Gunma,6050,70.35,83,1.57,148,2.79,190,3.58,4586,86.53,85,1.6,15,0.28,13,0.25,242,4.57,12,0.23,32,0.6,-,-,62,4.43,1,0.11,-,-,1,0.11,-,-,-,-
Saitama,28510,112.24,502,3.14,348,2.18,780,4.88,15087,94.29,255,1.59,111,0.69,32,0.2,554,3.46,24,0.15,103,0.64,13,0.33,116,2.9,3,0.27,8,0.73,3,0.27,-,-,3,0.27
Chiba,20898,99.99,156,1.2,122,0.94,686,5.28,11421,87.85,170,1.31,37,0.28,15,0.12,308,2.37,25,0.19,62,0.48,1,0.03,107,3.15,3,0.33,5,0.56,-,-,-,-,-,-
Tokyo,42905,104.39,448,1.73,423,1.63,1245,4.81,23894,92.25,325,1.25,169,0.65,54,0.21,865,3.34,64,0.25,128,0.49,5,0.13,57,1.5,9,0.38,14,0.58,5,0.21,2,0.08,3,0.13
Kanagawa,43756,122.22,249,1.1,216,0.96,972,4.3,18029,79.77,190,0.84,107,0.47,35,0.15,664,2.94,53,0.23,116,0.51,6,0.12,313,6.26,6,0.55,12,1.09,3,0.27,-,-,1,0.09
Niigata,13212,153.63,541,9.84,151,2.75,780,14.18,4212,76.58,60,1.09,34,0.62,7,0.13,189,3.44,9,0.16,29,0.53,-,-,18,1.8,1,0.08,3,0.25,2,0.17,-,-,1,0.08
Toyama,10917,227.44,366,12.62,139,4.79,351,12.1,4331,149.34,40,1.38,9,0.31,3,0.1,81,2.79,15,0.52,7,0.24,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,14140,294.58,263,9.07,89,3.07,129,4.45,4222,145.59,38,1.31,81,2.79,1,0.03,106,3.66,18,0.62,9,0.31,1,0.14,38,5.43,1,0.2,2,0.4,7,1.4,-,-,1,0.2
Fukui,9982,269.78,232,10.09,146,6.35,234,10.17,1765,76.74,59,2.57,134,5.83,3,0.13,74,3.22,41,1.78,8,0.35,-,-,2,0.67,3,0.5,2,0.33,1,0.17,-,-,-,-
Yamanashi,1685,41.1,69,2.88,7,0.29,18,0.75,2208,92,8,0.33,8,0.33,1,0.04,81,3.38,1,0.04,12,0.5,-,-,37,4.11,1,0.1,-,-,-,-,-,-,3,0.3
Nagano,8135,93.51,206,3.89,57,1.08,143,2.7,5638,106.38,48,0.91,15,0.28,4,0.08,123,2.32,19,0.36,14,0.26,5,0.5,49,4.9,-,-,3,0.25,3,0.25,-,-,1,0.08
Gifu,4305,50.06,133,2.56,127,2.44,140,2.69,2883,55.44,19,0.37,29,0.56,2,0.04,125,2.4,5,0.1,9,0.17,-,-,27,2.45,-,-,5,1,-,-,-,-,1,0.2
Shizuoka,7387,53.14,392,4.4,254,2.85,281,3.16,7484,84.09,89,1,46,0.52,15,0.17,252,2.83,9,0.1,55,0.62,-,-,34,1.55,7,0.7,4,0.4,5,0.5,-,-,2,0.2
Aichi,22140,113.54,291,1.6,296,1.63,1072,5.89,14713,80.84,148,0.81,76,0.42,17,0.09,416,2.29,19,0.1,50,0.27,1,0.03,39,1.11,7,0.47,5,0.33,-,-,-,-,1,0.07
Mie,7487,105.45,51,1.16,151,3.43,136,3.09,3347,76.07,69,1.57,16,0.36,4,0.09,144,3.27,5,0.11,15,0.34,-,-,5,0.42,4,0.44,8,0.89,3,0.33,-,-,-,-
Shiga,8366,141.8,68,1.94,79,2.26,170,4.86,2592,74.06,50,1.43,21,0.6,4,0.11,77,2.2,13,0.37,8,0.23,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,23728,191.35,427,5.69,159,2.12,772,10.29,5245,69.93,118,1.57,92,1.23,13,0.17,159,2.12,50,0.67,14,0.19,1,0.06,26,1.53,1,0.14,2,0.29,2,0.29,-,-,4,0.57
Osaka,57866,194.84,1603,8.26,440,2.27,1357,6.99,16135,83.17,203,1.05,209,1.08,26,0.13,542,2.79,115,0.59,96,0.49,8,0.16,97,1.9,-,-,5,0.31,-,-,-,-,7,0.44
Hyogo,26429,133.48,676,5.24,300,2.33,530,4.11,14080,109.15,137,1.06,267,2.07,19,0.15,326,2.53,79,0.61,31,0.24,3,0.09,116,3.31,6,0.43,6,0.43,-,-,-,-,-,-
Nara,7955,144.64,220,6.47,76,2.24,149,4.38,2879,84.68,28,0.82,73,2.15,4,0.12,115,3.38,15,0.44,6,0.18,-,-,46,4.6,6,1,3,0.5,1,0.17,1,0.17,-,-
Wakayama,5081,103.69,163,5.43,34,1.13,149,4.97,1944,64.8,26,0.87,31,1.03,-,-,85,2.83,1,0.03,9,0.3,1,0.25,3,0.75,2,0.18,4,0.36,3,0.27,-,-,-,-
Tottori,1529,52.72,14,0.74,38,2,382,20.11,2182,114.84,12,0.63,14,0.74,3,0.16,73,3.84,6,0.32,3,0.16,1,0.2,2,0.4,1,0.2,1,0.2,-,-,-,-,4,0.8
Shimane,2807,73.87,12,0.52,58,2.52,61,2.65,2119,92.13,43,1.87,69,3,3,0.13,120,5.22,11,0.48,6,0.26,-,-,6,2,3,0.38,1,0.13,-,-,-,-,-,-
Okayama,8706,103.64,253,4.69,134,2.48,120,2.22,4498,83.3,45,0.83,88,1.63,7,0.13,150,2.78,30,0.56,32,0.59,5,0.42,35,2.92,2,0.4,6,1.2,1,0.2,-,-,3,0.6
Hiroshima,13058,114.54,296,4.17,238,3.35,395,5.56,7051,99.31,61,0.86,30,0.42,5,0.07,201,2.83,64,0.9,17,0.24,6,0.32,86,4.53,1,0.05,-,-,2,0.1,-,-,1,0.05
Yamaguchi,5427,83.49,264,6,73,1.66,289,6.57,4561,103.66,35,0.8,29,0.66,5,0.11,221,5.02,76,1.73,14,0.32,-,-,38,4.22,-,-,1,0.11,3,0.33,-,-,-,-
Tokushima,2863,77.38,83,3.61,38,1.65,22,0.96,2044,88.87,20,0.87,38,1.65,3,0.13,95,4.13,5,0.22,6,0.26,2,0.5,2,0.5,1,0.14,2,0.29,-,-,-,-,-,-
Kagawa,6780,144.26,117,4.18,80,2.86,26,0.93,3678,131.36,21,0.75,5,0.18,1,0.04,126,4.5,23,0.82,13,0.46,-,-,5,1,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,6153,102.55,203,5.64,66,1.83,247,6.86,5524,153.44,23,0.64,33,0.92,2,0.06,225,6.25,13,0.36,21,0.58,-,-,50,6.25,-,-,-,-,2,0.33,-,-,-,-
Kochi,4383,97.4,130,4.81,28,1.04,108,4,2020,74.81,22,0.81,91,3.37,7,0.26,87,3.22,66,2.44,4,0.15,-,-,3,1,2,0.25,-,-,8,1,-,-,6,0.75
Fukuoka,42090,212.58,1091,9.09,424,3.53,2678,22.32,10319,85.99,176,1.47,341,2.84,14,0.12,631,5.26,562,4.68,54,0.45,1,0.04,58,2.23,7,0.47,4,0.27,1,0.07,-,-,3,0.2
Saga,7122,182.62,384,16.7,116,5.04,103,4.48,1112,48.35,14,0.61,82,3.57,3,0.13,164,7.13,191,8.3,11,0.48,-,-,4,1,3,0.5,1,0.17,-,-,-,-,3,0.5
Nagasaki,10567,150.96,563,12.8,117,2.66,1162,26.41,2505,56.93,71,1.61,135,3.07,6,0.14,161,3.66,226,5.14,27,0.61,12,1.5,36,4.5,2,0.17,2,0.17,3,0.25,-,-,-,-
Kumamoto,8423,106.62,684,13.96,148,3.02,149,3.04,4120,84.08,48,0.98,89,1.82,-,-,308,6.29,603,12.31,34,0.69,-,-,45,5,3,0.2,6,0.4,1,0.07,-,-,-,-
Oita,9660,166.55,76,2.11,102,2.83,174,4.83,5907,164.08,58,1.61,20,0.56,8,0.22,204,5.67,78,2.17,29,0.81,-,-,27,5.4,1,0.09,1,0.09,4,0.36,-,-,-,-
Miyazaki,9952,174.6,297,8.49,204,5.83,270,7.71,5490,156.86,60,1.71,47,1.34,6,0.17,215,6.14,192,5.49,26,0.74,2,0.33,68,11.33,1,0.14,1,0.14,-,-,-,-,-,-
Kagoshima,7367,80.96,975,18.4,312,5.89,260,4.91,6273,118.36,47,0.89,160,3.02,12,0.23,227,4.28,135,2.55,39,0.74,2,0.29,38,5.43,-,-,1,0.08,-,-,-,-,-,-
Okinawa,15865,288.45,117,3.66,92,2.88,483,15.09,880,27.5,50,1.56,1125,35.16,6,0.19,89,2.78,28,0.88,15,0.47,10,1.25,83,10.38,8,1.14,5,0.71,1,0.14,1,0.14,-,-
