"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"32nd week, 2025",,,,,,"Data collected as of August 13, 2025"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,198058,52.49,,,,
Hokkaido,6596,40.47,,,,
Aomori,2294,44.98,,,,
Iwate,3312,80.78,,,,
Miyagi,3315,61.39,,,,
Akita,1346,53.84,,,,
Yamagata,2518,66.26,,,,
Fukushima,2552,53.17,,,,
Ibaraki,4319,63.51,,,,
Tochigi,3410,74.13,,,,
Gunma,3802,88.42,,,,
Saitama,13303,79.18,,,,
Chiba,11738,65.94,,,,
Tokyo,20547,52.02,,,,
Kanagawa,15084,66.16,,,,
Niigata,2894,60.29,,,,
Toyama,2713,58.98,,,,
Ishikawa,1927,41,,,,
Fukui,1220,31.28,,,,
Yamanashi,1035,30.44,,,,
Nagano,4093,50.53,,,,
Gifu,1736,38.58,,,,
Shizuoka,6055,43.56,,,,
Aichi,9620,59.02,,,,
Mie,3051,44.22,,,,
Shiga,2323,41.48,,,,
Kyoto,2916,47.8,,,,
Osaka,9677,33.25,,,,
Hyogo,6677,41.99,,,,
Nara,1564,37.24,,,,
Wakayama,1692,37.6,,,,
Tottori,1525,52.59,,,,
Shimane,1027,51.35,,,,
Okayama,2650,53,,,,
Hiroshima,4182,44.02,,,,
Yamaguchi,3578,56.79,,,,
Tokushima,1409,42.7,,,,
Kagawa,1896,47.4,,,,
Ehime,2540,68.65,,,,
Kochi,1585,41.71,,,,
Fukuoka,5343,43.8,,,,
Saga,1255,52.29,,,,
Nagasaki,3014,59.1,,,,
Kumamoto,3804,52.83,,,,
Oita,3269,56.36,,,,
Miyazaki,1521,54.32,,,,
Kagoshima,3927,68.89,,,,
Okinawa,2204,48.98,,,,
