"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2023",,,,,,"Data collected as of November 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1206098,244.6,143882,45.82,86346,27.5,151188,48.15,623364,198.52,12241,3.9,84629,26.95,1865,0.59,34797,11.08,192532,61.32,5983,1.91,351,0.51,12195,17.57,333,0.7,582,1.22,742,1.55,20,0.04,131,0.27,1226153,248.66
Hokkaido,44936,200.61,8988,65.13,4158,30.13,8659,62.75,13006,94.25,625,4.53,1031,7.47,53,0.38,807,5.85,10976,79.54,186,1.35,5,0.17,179,6.17,5,0.22,4,0.17,38,1.65,1,0.04,7,0.3,53976,240.96
Aomori,13264,217.44,892,22.87,346,8.87,478,12.26,6123,157,93,2.38,566,14.51,13,0.33,364,9.33,2886,74,47,1.21,5,0.56,30,3.33,5,0.83,8,1.33,171,28.5,-,-,-,-,13907,227.98
Iwate,14721,237.44,1566,40.15,328,8.41,1792,45.95,8016,205.54,99,2.54,772,19.79,47,1.21,575,14.74,4392,112.62,54,1.38,-,-,150,11.54,12,0.63,9,0.47,30,1.58,1,0.05,16,0.84,18919,305.15
Miyagi,15132,164.48,3061,55.65,792,14.4,1321,24.02,10578,192.33,207,3.76,1790,32.55,37,0.67,676,12.29,6909,125.62,112,2.04,2,0.17,118,9.83,5,0.5,3,0.3,26,2.6,-,-,-,-,27141,295.01
Akita,8481,166.29,693,21,163,4.94,501,15.18,3837,116.27,121,3.67,492,14.91,13,0.39,216,6.55,1995,60.45,28,0.85,5,0.83,48,8,1,0.13,-,-,5,0.63,-,-,-,-,11704,229.49
Yamagata,8539,198.58,1883,67.25,482,17.21,1001,35.75,5276,188.43,107,3.82,650,23.21,14,0.5,465,16.61,3845,137.32,47,1.68,-,-,35,4.38,4,0.4,4,0.4,4,0.4,-,-,1,0.1,8911,207.23
Fukushima,15383,187.6,3481,71.04,891,18.18,2019,41.2,6956,141.96,160,3.27,2100,42.86,47,0.96,848,17.31,3257,66.47,108,2.2,7,0.54,181,13.92,3,0.43,2,0.29,13,1.86,-,-,1,0.14,21580,263.17
Ibaraki,23716,197.63,1825,24.33,1924,25.65,4050,54,11721,156.28,277,3.69,3578,47.71,91,1.21,556,7.41,2830,37.73,123,1.64,13,0.76,739,43.47,5,0.42,5,0.42,45,3.75,-,-,1,0.08,35595,296.63
Tochigi,12692,167,1946,40.54,536,11.17,1712,35.67,5575,116.15,147,3.06,1785,37.19,33,0.69,640,13.33,2785,58.02,70,1.46,-,-,209,17.42,6,0.86,10,1.43,1,0.14,-,-,2,0.29,17935,235.99
